attempted_field_goals,field_goal_percentage,three_point_percentage,made_free_throws,defensive_rebounds,total_rebounds,turnovers,personal_fouls
84,0.28205128205128205,0.12903225806451613,29,42,55,18,21
82,0.2743362831858407,0.18421052631578946,14,34,44,11,15
88,0.296,0.2727272727272727,9,38,52,7,17
81,0.2831858407079646,0.2222222222222222,21,28,34,21,21
92,0.31851851851851853,0.2647058823529412,22,40,56,22,27
84,0.35384615384615387,0.3333333333333333,10,36,46,20,17
96,0.3142857142857143,0.23333333333333334,9,29,39,15,19
88,0.3178294573643411,0.3181818181818182,17,31,42,20,15
86,0.3722627737226277,0.325,10,31,34,14,22
82,0.32231404958677684,0.25806451612903225,10,30,36,19,22
80,0.3548387096774194,0.3142857142857143,11,33,36,14,18
103,0.34810126582278483,0.2987012987012987,26,25,44,13,24
91,0.38513513513513514,0.35714285714285715,24,29,40,19,27
84,0.3225806451612903,0.27450980392156865,12,32,41,13,18
88,0.2903225806451613,0.17073170731707318,18,34,50,16,15
80,0.3103448275862069,0.25,18,40,49,19,28
91,0.3,0.16129032258064516,20,36,47,11,23
89,0.32575757575757575,0.21212121212121213,14,30,35,14,24
77,0.3474576271186441,0.3125,25,35,37,15,21
93,0.2846153846153846,0.2692307692307692,14,35,51,13,23
74,0.308411214953271,0.24444444444444444,27,41,44,14,16
99,0.29285714285714287,0.2,22,31,40,12,21
85,0.33070866141732286,0.37254901960784315,20,45,55,20,21
85,0.3253968253968254,0.17142857142857143,18,37,47,16,21
89,0.3046875,0.2857142857142857,18,31,42,17,18
96,0.32867132867132864,0.21951219512195122,16,35,41,11,21
102,0.28169014084507044,0.28,16,43,61,22,21
93,0.32116788321167883,0.2708333333333333,26,36,52,11,19
84,0.3170731707317073,0.3170731707317073,19,32,39,11,22
87,0.2689075630252101,0.2558139534883721,20,42,45,16,21
96,0.28888888888888886,0.15625,19,45,58,13,24
93,0.3357142857142857,0.265625,12,47,58,13,19
91,0.272,0.24489795918367346,11,30,40,16,16
73,0.32407407407407407,0.28205128205128205,20,30,36,17,18
84,0.328,0.21621621621621623,12,27,38,16,23
93,0.3161764705882353,0.23809523809523808,13,38,48,14,24
91,0.3106060606060606,0.22857142857142856,23,36,41,8,18
85,0.2975206611570248,0.14705882352941177,16,32,48,12,15
77,0.3063063063063063,0.24324324324324326,10,35,40,18,22
88,0.3333333333333333,0.2916666666666667,12,28,32,17,20
86,0.328125,0.24324324324324326,12,33,46,20,23
84,0.288135593220339,0.29411764705882354,22,35,42,13,22
89,0.3153846153846154,0.2549019607843137,20,41,51,11,22
94,0.29850746268656714,0.2558139534883721,13,39,56,16,25
90,0.31297709923664124,0.28846153846153844,18,36,44,12,20
73,0.27,0.24324324324324326,28,34,41,13,14
86,0.3008130081300813,0.17142857142857143,7,37,47,15,25
107,0.33540372670807456,0.25,10,33,46,11,23
78,0.36585365853658536,0.3584905660377358,19,32,36,18,21
94,0.35172413793103446,0.30357142857142855,12,44,47,21,23
95,0.2803030303030303,0.2553191489361702,23,31,39,17,18
94,0.3472222222222222,0.32786885245901637,11,40,51,13,21
96,0.28888888888888886,0.2727272727272727,15,29,41,9,14
84,0.3,0.23684210526315788,14,36,42,18,21
85,0.32,0.23529411764705882,20,39,49,16,24
78,0.28440366972477066,0.24390243902439024,22,31,37,14,30
92,0.28125,0.1794871794871795,26,36,54,9,25
79,0.2818181818181818,0.22580645161290322,24,34,38,22,24
89,0.34558823529411764,0.3050847457627119,17,41,46,15,21
85,0.3253968253968254,0.2777777777777778,16,40,50,14,29
80,0.2857142857142857,0.20512820512820512,20,29,38,13,23
87,0.32558139534883723,0.2,13,39,46,18,22
83,0.28448275862068967,0.1935483870967742,24,39,47,17,18
97,0.3310344827586207,0.28888888888888886,16,29,39,21,26
92,0.3475177304964539,0.2807017543859649,21,33,45,23,18
105,0.3092105263157895,0.24528301886792453,11,28,44,6,23
86,0.328125,0.2777777777777778,33,39,47,10,17
93,0.2734375,0.2537313432835821,20,37,51,18,21
94,0.29850746268656714,0.10714285714285714,17,38,51,14,21
93,0.34965034965034963,0.2641509433962264,20,46,57,17,20
103,0.2642857142857143,0.23214285714285715,19,34,47,15,23
89,0.32061068702290074,0.30952380952380953,12,29,38,20,29
77,0.3474576271186441,0.28205128205128205,21,35,40,19,24
82,0.29310344827586204,0.325,18,29,42,19,20
93,0.3161764705882353,0.21621621621621623,21,28,41,11,23
91,0.29457364341085274,0.1951219512195122,16,30,41,15,17
90,0.3233082706766917,0.2682926829268293,11,39,48,18,20
92,0.3284671532846715,0.25,17,37,49,15,18
85,0.3359375,0.30434782608695654,12,35,42,16,21
94,0.35172413793103446,0.2857142857142857,6,36,43,18,34
88,0.3230769230769231,0.24390243902439024,28,27,37,13,17
85,0.3609022556390977,0.2857142857142857,11,41,45,14,23
95,0.2962962962962963,0.2826086956521739,20,32,43,9,18
88,0.26666666666666666,0.23684210526315788,16,31,44,13,21
86,0.3435114503816794,0.28125,10,38,47,19,21
82,0.2807017543859649,0.12,27,37,53,14,24
86,0.3008130081300813,0.26666666666666666,16,31,38,9,23
82,0.3333333333333333,0.2826086956521739,18,36,43,17,30
74,0.28846153846153844,0.16666666666666666,27,35,41,24,26
80,0.3277310924369748,0.2,22,34,44,18,30
84,0.3,0.2619047619047619,24,31,43,17,23
80,0.3277310924369748,0.3055555555555556,13,25,30,13,20
79,0.35772357723577236,0.3333333333333333,19,35,43,16,17
96,0.2835820895522388,0.2826086956521739,23,35,51,10,12
97,0.3310344827586207,0.3181818181818182,12,39,50,12,20
95,0.2803030303030303,0.24528301886792453,19,32,48,16,26
94,0.3188405797101449,0.2857142857142857,21,35,48,13,25
98,0.3,0.26865671641791045,27,40,54,15,28
98,0.2949640287769784,0.29545454545454547,29,40,54,19,28
96,0.30935251798561153,0.26229508196721313,19,26,36,11,22
88,0.36231884057971014,0.34285714285714286,25,41,49,17,22
95,0.30656934306569344,0.3125,16,31,43,14,23
78,0.35537190082644626,0.32558139534883723,24,35,37,14,20
80,0.2920353982300885,0.24242424242424243,30,35,42,14,20
89,0.3153846153846154,0.26666666666666666,16,36,50,13,21
93,0.3007518796992481,0.23255813953488372,18,41,52,12,19
86,0.2773109243697479,0.16216216216216217,15,40,49,20,19
104,0.2727272727272727,0.22,12,34,51,13,27
89,0.3046875,0.14814814814814814,25,44,57,17,14
82,0.3543307086614173,0.3488372093023256,19,36,41,13,28
84,0.30578512396694213,0.2558139534883721,23,30,40,14,21
80,0.3442622950819672,0.3225806451612903,18,27,31,13,14
94,0.35172413793103446,0.3103448275862069,10,35,47,13,21
76,0.3559322033898305,0.3673469387755102,19,27,36,14,19
87,0.3458646616541353,0.24324324324324326,8,23,34,12,19
89,0.29365079365079366,0.3333333333333333,18,42,56,12,20
90,0.29133858267716534,0.2413793103448276,14,40,47,13,21
86,0.3064516129032258,0.3333333333333333,8,38,49,17,19
87,0.30952380952380953,0.2903225806451613,13,34,41,10,16
86,0.312,0.2826086956521739,15,30,40,15,26
83,0.3412698412698413,0.21052631578947367,22,34,44,12,16
80,0.25925925925925924,0.14634146341463414,18,29,37,12,12
89,0.31007751937984496,0.2,7,38,48,18,24
103,0.2945205479452055,0.2222222222222222,23,36,49,20,26
111,0.3018867924528302,0.2,20,39,59,18,23
93,0.30597014925373134,0.3064516129032258,21,43,53,17,24
99,0.28776978417266186,0.19607843137254902,14,39,53,18,23
86,0.2711864406779661,0.275,11,32,36,18,22
93,0.32116788321167883,0.2,23,45,57,9,17
99,0.29285714285714287,0.3018867924528302,21,35,51,9,25
97,0.291970802919708,0.2682926829268293,24,35,48,10,24
95,0.26356589147286824,0.21739130434782608,22,38,54,12,26
84,0.288135593220339,0.29411764705882354,20,45,56,20,27
90,0.31297709923664124,0.18181818181818182,25,31,48,12,17
96,0.3191489361702128,0.18421052631578946,3,30,47,18,24
83,0.319672131147541,0.30158730158730157,20,46,55,22,21
98,0.2740740740740741,0.1111111111111111,16,35,46,15,22
75,0.34782608695652173,0.2978723404255319,21,36,45,26,28
88,0.2903225806451613,0.2553191489361702,26,29,42,21,27
97,0.348993288590604,0.3,16,35,47,14,14
95,0.3448275862068966,0.25,10,29,39,15,22
85,0.33070866141732286,0.2413793103448276,17,28,34,15,18
79,0.3524590163934426,0.3181818181818182,14,35,42,18,17
94,0.3380281690140845,0.27450980392156865,25,36,43,8,25
99,0.2826086956521739,0.3181818181818182,23,36,57,15,22
89,0.32575757575757575,0.25,15,36,43,13,17
94,0.3037037037037037,0.25,12,38,51,12,20
101,0.2785714285714286,0.28205128205128205,11,43,57,20,30
97,0.2595419847328244,0.11764705882352941,24,38,53,12,23
82,0.3050847457627119,0.2222222222222222,28,36,45,14,19
86,0.26495726495726496,0.225,16,35,52,21,26
83,0.36153846153846153,0.28205128205128205,16,43,48,22,21
91,0.33088235294117646,0.288135593220339,12,30,35,15,20
91,0.34532374100719426,0.3103448275862069,4,33,43,9,13
89,0.3153846153846154,0.29411764705882354,5,30,37,10,10
84,0.3114754098360656,0.2978723404255319,16,25,31,13,19
84,0.35384615384615387,0.2631578947368421,12,39,49,20,16
91,0.32592592592592595,0.19047619047619047,16,38,43,17,24
99,0.3443708609271523,0.3114754098360656,15,37,42,7,17
104,0.2876712328767123,0.21153846153846154,18,37,48,16,26
104,0.30201342281879195,0.25,22,45,61,17,22
89,0.29365079365079366,0.20754716981132076,21,33,46,6,26
86,0.3228346456692913,0.3,19,36,46,9,27
89,0.3358208955223881,0.30612244897959184,15,34,45,16,23
87,0.30952380952380953,0.3333333333333333,20,27,39,17,22
81,0.3305785123966942,0.3137254901960784,26,38,43,12,16
94,0.3237410071942446,0.24390243902439024,8,36,44,10,24
85,0.2857142857142857,0.2682926829268293,9,33,38,15,24
92,0.2698412698412698,0.18181818181818182,22,46,66,19,21
85,0.34108527131782945,0.22641509433962265,22,40,47,17,22
95,0.3014705882352941,0.23728813559322035,20,34,46,16,23
87,0.33587786259541985,0.28205128205128205,14,38,47,11,20
90,0.3181818181818182,0.2857142857142857,13,35,42,13,17
88,0.2903225806451613,0.23809523809523808,20,25,38,18,28
81,0.3360655737704918,0.2978723404255319,24,37,46,19,25
83,0.3464566929133858,0.30612244897959184,22,35,45,14,21
104,0.30666666666666664,0.21153846153846154,18,25,40,3,24
82,0.26126126126126126,0.1935483870967742,21,31,40,15,16
94,0.32857142857142857,0.23333333333333334,12,39,50,14,20
78,0.30357142857142855,0.26785714285714285,25,24,32,16,28
77,0.3474576271186441,0.30434782608695654,21,34,42,19,30
86,0.3064516129032258,0.19230769230769232,16,36,45,13,13
89,0.31007751937984496,0.17391304347826086,10,35,46,14,20
95,0.3493150684931507,0.2857142857142857,11,36,44,9,21
91,0.3208955223880597,0.2962962962962963,13,33,39,11,22
77,0.3063063063063063,0.21052631578947367,23,33,40,17,19
86,0.3064516129032258,0.2558139534883721,20,35,46,14,25
90,0.31297709923664124,0.22916666666666666,21,33,43,16,29
92,0.31851851851851853,0.1875,27,35,46,11,18
96,0.3424657534246575,0.275,22,27,36,8,23
96,0.33793103448275863,0.3076923076923077,26,34,44,11,26
89,0.35036496350364965,0.3269230769230769,6,34,45,23,21
87,0.33076923076923076,0.3076923076923077,15,27,34,15,12
98,0.27941176470588236,0.23255813953488372,7,42,53,13,21
86,0.2773109243697479,0.25,22,44,53,10,17
89,0.288,0.20454545454545456,13,23,33,17,14
89,0.35036496350364965,0.3103448275862069,15,38,51,19,18
90,0.3283582089552239,0.15,23,34,44,11,23
91,0.33088235294117646,0.24444444444444444,28,37,50,10,25
91,0.3053435114503817,0.21052631578947367,9,39,47,15,27
86,0.3064516129032258,0.23809523809523808,26,39,48,13,22
92,0.31343283582089554,0.30434782608695654,16,36,50,12,20
96,0.2835820895522388,0.26153846153846155,13,32,43,12,16
79,0.3524590163934426,0.2857142857142857,10,37,41,18,21
85,0.2975206611570248,0.2,17,30,41,18,16
95,0.2748091603053435,0.17391304347826086,13,44,51,7,14
101,0.2986111111111111,0.23255813953488372,5,48,62,7,14
93,0.2900763358778626,0.29508196721311475,21,35,45,20,29
88,0.3230769230769231,0.15384615384615385,34,41,58,22,22
84,0.35384615384615387,0.3142857142857143,24,31,37,16,22
98,0.32413793103448274,0.34615384615384615,20,33,51,14,25
84,0.3,0.18181818181818182,23,32,44,11,16
94,0.3088235294117647,0.3023255813953488,9,38,53,15,27
91,0.3053435114503817,0.20512820512820512,24,34,49,22,31
85,0.3253968253968254,0.2777777777777778,31,32,39,20,24
81,0.3305785123966942,0.3,11,35,42,19,19
96,0.30935251798561153,0.2708333333333333,10,27,41,10,17
91,0.2890625,0.2826086956521739,18,36,47,14,24
82,0.29310344827586204,0.15151515151515152,27,43,55,19,19
82,0.31092436974789917,0.1951219512195122,20,34,42,16,25
89,0.288,0.23333333333333334,25,34,44,8,23
82,0.3050847457627119,0.2909090909090909,9,33,43,17,22
81,0.2956521739130435,0.22916666666666666,20,31,41,13,18
87,0.28688524590163933,0.20930232558139536,27,36,45,14,16
96,0.30935251798561153,0.2222222222222222,11,37,46,11,23
100,0.35064935064935066,0.2631578947368421,19,38,51,13,22
89,0.32061068702290074,0.22916666666666666,21,34,43,20,20
90,0.3333333333333333,0.30434782608695654,15,30,43,14,32
76,0.3504273504273504,0.29411764705882354,35,30,36,13,23
89,0.3358208955223881,0.3333333333333333,6,33,41,11,25
87,0.2926829268292683,0.2926829268292683,27,34,48,10,13
88,0.3125,0.18867924528301888,27,35,40,15,30
91,0.2601626016260163,0.1875,38,39,56,19,30
89,0.29365079365079366,0.29310344827586204,11,35,42,14,20
88,0.296,0.1875,27,43,55,12,15
96,0.30935251798561153,0.22,5,47,55,14,13
100,0.24242424242424243,0.2608695652173913,7,40,54,13,10
90,0.27419354838709675,0.2,27,24,38,19,27
93,0.34965034965034963,0.34,33,41,53,19,28
82,0.31092436974789917,0.3137254901960784,4,24,31,18,16
81,0.352,0.2727272727272727,12,37,46,21,6
94,0.31386861313868614,0.27941176470588236,20,28,41,11,18
84,0.3114754098360656,0.24,17,34,47,18,20
87,0.2926829268292683,0.26153846153846155,14,30,42,10,18
86,0.312,0.23076923076923078,18,35,48,11,21
93,0.3111111111111111,0.25,24,39,48,12,20
88,0.3178294573643411,0.21739130434782608,29,36,43,10,17
84,0.35384615384615387,0.28125,13,40,44,13,22
90,0.27419354838709675,0.1935483870967742,21,31,42,14,21
86,0.3008130081300813,0.2222222222222222,19,27,36,17,19
89,0.34558823529411764,0.3,13,32,43,16,19
89,0.35507246376811596,0.36,15,33,39,12,24
84,0.3170731707317073,0.3076923076923077,20,36,45,16,17
91,0.2890625,0.21875,19,34,43,10,19
89,0.29365079365079366,0.28125,16,37,48,13,21
97,0.32167832167832167,0.31666666666666665,10,29,38,9,21
87,0.33076923076923076,0.2830188679245283,24,41,52,14,15
82,0.29310344827586204,0.25,21,36,46,14,14
89,0.2992125984251969,0.2857142857142857,10,35,45,12,24
87,0.2809917355371901,0.16129032258064516,14,41,47,16,20
97,0.302158273381295,0.22916666666666666,10,43,55,14,20
91,0.2661290322580645,0.2127659574468085,24,29,45,14,21
95,0.30656934306569344,0.21212121212121213,17,41,58,21,29
85,0.33070866141732286,0.2916666666666667,15,46,57,21,25
92,0.3082706766917293,0.2962962962962963,14,32,41,11,19
82,0.32786885245901637,0.15625,15,34,39,17,23
92,0.29770992366412213,0.2,19,32,46,14,20
98,0.3466666666666667,0.2857142857142857,17,40,54,12,25
92,0.29770992366412213,0.25,18,29,37,11,22
84,0.22935779816513763,0.2564102564102564,23,21,28,7,18
83,0.36153846153846153,0.2777777777777778,7,44,57,20,24
87,0.275,0.25,33,42,56,10,22
88,0.2845528455284553,0.2222222222222222,20,38,47,12,32
90,0.31297709923664124,0.21739130434782608,15,38,45,24,30
99,0.3125,0.26666666666666666,24,36,46,15,23
97,0.2814814814814815,0.21428571428571427,16,38,52,16,28
94,0.2932330827067669,0.21875,19,37,51,12,25
88,0.30158730158730157,0.23255813953488372,14,28,38,9,16
81,0.352,0.3584905660377358,14,38,44,11,22
79,0.3416666666666667,0.325,28,39,44,17,19
95,0.3402777777777778,0.2692307692307692,12,32,37,9,27
91,0.3,0.24,24,32,46,11,27
93,0.3007518796992481,0.3055555555555556,21,33,52,12,22
85,0.2857142857142857,0.2692307692307692,29,35,49,16,25
92,0.3284671532846715,0.2978723404255319,12,35,43,9,29
101,0.30344827586206896,0.25,9,34,39,12,23
93,0.32116788321167883,0.25,27,44,55,13,17
93,0.32608695652173914,0.1891891891891892,22,38,46,15,26
100,0.3055555555555556,0.26,27,40,54,16,26
97,0.2814814814814815,0.2553191489361702,25,33,55,16,26
81,0.31932773109243695,0.21212121212121213,29,33,40,14,31
97,0.2867647058823529,0.24324324324324326,18,24,36,3,19
75,0.33035714285714285,0.2857142857142857,21,43,55,22,23
95,0.26356589147286824,0.175,17,37,52,12,29
81,0.3017241379310345,0.2972972972972973,27,38,48,14,24
83,0.33064516129032256,0.3181818181818182,21,29,40,19,31
81,0.352,0.3333333333333333,30,34,41,16,29
87,0.304,0.25,19,32,41,17,25
93,0.32116788321167883,0.2698412698412698,13,39,50,17,26
93,0.32608695652173914,0.25806451612903225,25,30,43,14,24
87,0.33587786259541985,0.2857142857142857,33,31,40,13,21
96,0.3424657534246575,0.2857142857142857,19,30,39,13,26
95,0.3708609271523179,0.3404255319148936,21,40,52,16,25
92,0.31851851851851853,0.3090909090909091,17,43,55,15,17
94,0.27692307692307694,0.16216216216216217,10,32,44,15,16
99,0.28776978417266186,0.28,7,33,49,14,27
92,0.31851851851851853,0.2708333333333333,14,37,49,12,19
87,0.3602941176470588,0.3448275862068966,16,35,43,16,23
89,0.31007751937984496,0.2923076923076923,24,28,38,16,19
101,0.2887323943661972,0.3103448275862069,18,31,49,9,23
87,0.33587786259541985,0.25,21,36,41,11,20
84,0.34375,0.34146341463414637,34,27,33,17,30
98,0.3333333333333333,0.2537313432835821,25,27,42,16,28
77,0.27358490566037735,0.22,22,30,40,19,26
85,0.3359375,0.24324324324324326,24,45,54,18,31
86,0.3228346456692913,0.3018867924528302,14,31,40,20,18
92,0.35664335664335667,0.4,14,30,40,10,18
96,0.3142857142857143,0.27586206896551724,20,41,54,16,21
100,0.32432432432432434,0.2,11,35,44,10,21
93,0.30597014925373134,0.27586206896551724,15,28,40,11,27
89,0.3153846153846154,0.24444444444444444,19,37,49,15,27
82,0.28695652173913044,0.2647058823529412,28,36,47,15,26
87,0.2926829268292683,0.2553191489361702,17,35,46,16,25
90,0.31297709923664124,0.35555555555555557,17,35,49,14,15
94,0.3237410071942446,0.34,9,33,46,10,21
100,0.29577464788732394,0.3023255813953488,11,25,40,6,17
84,0.3488372093023256,0.3191489361702128,16,38,46,12,14
88,0.30708661417322836,0.2564102564102564,29,38,52,17,29
89,0.29365079365079366,0.25,26,28,37,11,27
98,0.3287671232876712,0.3188405797101449,15,35,44,12,21
99,0.31724137931034485,0.2702702702702703,9,34,49,18,25
79,0.3130434782608696,0.19444444444444445,19,34,40,18,29
86,0.2892561983471074,0.15789473684210525,24,34,47,8,22
89,0.32575757575757575,0.3,11,29,35,12,23
89,0.32061068702290074,0.16666666666666666,26,37,49,13,16
91,0.3546099290780142,0.3125,21,34,46,17,26
104,0.30666666666666664,0.1875,19,33,51,18,29
93,0.2900763358778626,0.2222222222222222,7,41,49,9,15
91,0.2890625,0.1836734693877551,7,42,51,12,15
80,0.33884297520661155,0.3611111111111111,14,27,34,19,29
93,0.3007518796992481,0.24193548387096775,20,28,41,15,16
86,0.312,0.20930232558139536,16,33,45,21,21
88,0.3383458646616541,0.27450980392156865,19,33,40,14,24
97,0.3401360544217687,0.3488372093023256,28,37,47,9,26
107,0.3395061728395062,0.2641509433962264,18,39,52,15,29
99,0.3125,0.2564102564102564,13,32,43,11,21
96,0.3191489361702128,0.2982456140350877,17,36,55,14,18
92,0.28125,0.23529411764705882,11,33,45,15,24
85,0.2975206611570248,0.175,22,39,47,15,17
110,0.2948717948717949,0.28846153846153844,18,42,54,10,27
108,0.2847682119205298,0.22,27,53,70,19,22
97,0.2971014492753623,0.24324324324324326,15,27,41,12,14
87,0.36496350364963503,0.2777777777777778,12,41,46,13,21
84,0.26956521739130435,0.24324324324324326,21,36,43,10,22
82,0.26126126126126126,0.2,18,40,50,15,22
86,0.3435114503816794,0.29545454545454547,9,30,39,16,17
99,0.34,0.2682926829268293,13,34,49,12,22
98,0.3333333333333333,0.24561403508771928,20,40,48,11,24
108,0.32075471698113206,0.26666666666666666,19,34,46,8,24
87,0.3203125,0.2,22,38,47,16,26
93,0.3007518796992481,0.2,30,36,48,8,24
91,0.29457364341085274,0.23076923076923078,16,43,52,17,27
91,0.2890625,0.2830188679245283,22,44,54,15,26
85,0.30327868852459017,0.2222222222222222,26,28,36,6,20
77,0.32456140350877194,0.2564102564102564,28,36,45,14,24
