slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
ginobma01,Manu Ginóbili,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,WIN,2154,10,20,3,8,9,12,0,2,9,1,0,0,4,27.1
goodedr01,Drew Gooden,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,LOSS,2265,11,12,0,0,2,2,5,11,2,1,2,3,3,26.4
arenagi01,Gilbert Arenas,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,WIN,2812,10,24,3,8,7,11,1,5,6,4,1,2,1,24.3
cartevi01,Vince Carter,NEW JERSEY NETS,HOME,INDIANA PACERS,WIN,2449,12,20,1,6,8,9,0,5,5,1,1,5,3,23.9
wellsbo01,Bonzi Wells,SACRAMENTO KINGS,AWAY,SAN ANTONIO SPURS,LOSS,2656,12,17,0,0,4,8,5,7,1,0,1,3,6,20.9
abdursh01,Shareef Abdur-Rahim,SACRAMENTO KINGS,AWAY,SAN ANTONIO SPURS,LOSS,2075,12,19,0,1,3,3,0,9,1,1,0,1,5,19.9
martike02,Kevin Martin,SACRAMENTO KINGS,AWAY,SAN ANTONIO SPURS,LOSS,2715,7,15,2,4,10,10,4,4,0,0,0,1,4,19.7
barrybr01,Brent Barry,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,WIN,1576,8,12,4,7,2,2,0,2,1,0,0,0,3,16.9
parketo01,Tony Parker,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,WIN,2590,8,16,0,1,6,7,1,3,10,1,0,7,3,15.0
butleca01,Caron Butler,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,WIN,2121,9,19,2,5,1,2,3,6,1,2,1,1,6,14.8
krstine01,Nenad Krstić,NEW JERSEY NETS,HOME,INDIANA PACERS,WIN,2155,7,13,0,0,6,7,3,7,0,0,2,3,4,14.3
jamisan01,Antawn Jamison,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,WIN,2222,7,14,3,4,4,5,0,7,1,2,0,3,4,13.8
jonesfr01,Fred Jones,INDIANA PACERS,AWAY,NEW JERSEY NETS,LOSS,2313,5,10,1,4,2,3,1,5,4,1,0,0,2,12.8
duncati01,Tim Duncan,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,WIN,2106,4,10,0,0,6,8,1,12,2,1,1,1,5,12.2
jefferi01,Richard Jefferson,NEW JERSEY NETS,HOME,INDIANA PACERS,WIN,2527,7,17,0,2,7,8,0,4,2,0,1,2,2,12.0
