slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
jamesle01,LeBron James,CLEVELAND CAVALIERS,HOME,HOUSTON ROCKETS,LOSS,2655,13,19,3,7,3,6,1,8,5,1,0,3,4,25.7
alstora01,Rafer Alston,HOUSTON ROCKETS,AWAY,CLEVELAND CAVALIERS,WIN,2384,5,11,2,6,6,6,0,4,6,4,1,0,1,22.0
mcgratr01,Tracy McGrady,HOUSTON ROCKETS,AWAY,CLEVELAND CAVALIERS,WIN,2555,14,29,0,5,6,10,1,4,5,2,0,4,0,21.1
dunlemi02,Mike Dunleavy,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,2676,8,12,1,4,2,2,1,5,4,2,0,2,1,18.4
croshau01,Austin Croshere,INDIANA PACERS,AWAY,GOLDEN STATE WARRIORS,WIN,2186,6,14,3,6,2,2,3,6,2,2,1,1,3,15.4
davisba01,Baron Davis,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,2372,6,15,0,2,4,4,1,6,7,0,1,0,5,14.0
jacksst02,Stephen Jackson,INDIANA PACERS,AWAY,GOLDEN STATE WARRIORS,WIN,2450,12,23,1,3,2,5,0,6,3,0,1,4,4,13.5
howarju01,Juwan Howard,HOUSTON ROCKETS,AWAY,CLEVELAND CAVALIERS,WIN,2252,7,12,0,0,2,2,1,8,2,0,0,1,3,12.7
grangda01,Danny Granger,INDIANA PACERS,AWAY,GOLDEN STATE WARRIORS,WIN,2056,4,8,1,1,4,4,1,3,3,3,0,2,3,12.5
dioguik01,Ike Diogu,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,2255,6,10,0,0,4,6,3,9,1,0,1,4,2,12.0
ilgauzy01,Zydrunas Ilgauskas,CLEVELAND CAVALIERS,HOME,HOUSTON ROCKETS,LOSS,1970,7,13,0,0,3,6,5,5,1,0,1,3,5,10.9
headlu01,Luther Head,HOUSTON ROCKETS,AWAY,CLEVELAND CAVALIERS,WIN,1246,3,4,2,3,0,0,0,4,1,0,1,0,0,9.0
wesleda01,David Wesley,HOUSTON ROCKETS,AWAY,CLEVELAND CAVALIERS,WIN,2067,2,6,2,3,1,1,1,1,3,3,1,1,2,8.6
richaja01,Jason Richardson,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,1944,6,14,1,6,4,8,1,2,1,1,2,2,5,8.4
jasiksa01,Šarūnas Jasikevičius,INDIANA PACERS,AWAY,GOLDEN STATE WARRIORS,WIN,1520,2,5,2,4,6,6,0,2,2,0,0,2,4,7.7
fosteje01,Jeff Foster,INDIANA PACERS,AWAY,GOLDEN STATE WARRIORS,WIN,1806,1,1,0,0,2,2,1,10,0,1,1,1,3,6.9
johnsan02,Anthony Johnson,INDIANA PACERS,AWAY,GOLDEN STATE WARRIORS,WIN,2045,3,10,0,2,3,6,0,1,4,1,2,1,0,6.5
jonesfr01,Fred Jones,INDIANA PACERS,AWAY,GOLDEN STATE WARRIORS,WIN,1437,3,8,1,2,4,5,0,2,2,1,0,1,6,5.8
biedran01,Andris Biedriņš,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,625,2,2,0,0,0,0,0,2,0,0,1,0,0,4.7
goodedr01,Drew Gooden,CLEVELAND CAVALIERS,HOME,HOUSTON ROCKETS,LOSS,1624,2,3,0,0,2,6,1,5,1,1,0,2,2,4.2
harrida01,David Harrison,INDIANA PACERS,AWAY,GOLDEN STATE WARRIORS,WIN,835,3,4,0,0,0,0,3,3,0,0,0,2,3,4.2
marshdo01,Donyell Marshall,CLEVELAND CAVALIERS,HOME,HOUSTON ROCKETS,LOSS,2104,4,16,3,12,0,0,0,6,0,1,1,1,0,3.9
