team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW ORLEANS HORNETS,240,37,82,6,20,19,23,11,34,22,8,4,13,18
CHARLOTTE BOBCATS,240,32,78,5,15,16,21,9,32,17,8,2,15,25
MILWAUKEE BUCKS,240,43,93,6,16,7,15,11,25,32,12,6,11,25
CHICAGO BULLS,240,34,78,6,16,29,33,14,36,25,7,5,19,15
INDIANA PACERS,240,38,81,6,16,19,28,11,27,22,5,8,15,20
DETROIT PISTONS,240,44,90,7,15,19,25,17,26,29,10,8,12,20
DENVER NUGGETS,240,43,85,5,17,33,37,11,40,13,8,5,13,21
GOLDEN STATE WARRIORS,240,44,104,14,36,18,23,19,24,29,5,5,8,22
UTAH JAZZ,240,41,90,5,13,22,30,17,29,30,11,4,12,27
LOS ANGELES LAKERS,240,43,79,11,19,26,41,13,33,34,9,9,15,22
HOUSTON ROCKETS,240,43,89,8,21,9,12,10,38,24,6,7,9,18
MEMPHIS GRIZZLIES,240,31,86,7,20,14,16,11,32,20,2,5,14,20
ORLANDO MAGIC,265,43,94,12,34,23,28,19,33,24,4,4,16,21
MIAMI HEAT,265,43,85,5,13,23,31,7,28,25,9,7,10,26
WASHINGTON WIZARDS,240,38,86,8,23,22,27,17,27,20,7,1,10,22
NEW JERSEY NETS,240,36,82,8,17,29,31,16,24,26,5,8,9,16
LOS ANGELES CLIPPERS,240,33,95,1,9,21,25,16,40,12,6,7,9,21
PHOENIX SUNS,240,38,79,5,20,13,23,6,39,26,3,16,12,23
MINNESOTA TIMBERWOLVES,240,38,82,10,24,12,15,6,26,22,7,1,13,23
PORTLAND TRAIL BLAZERS,240,40,81,8,19,21,29,14,33,28,8,6,12,14
PHILADELPHIA 76ERS,240,38,76,3,8,13,20,13,26,17,11,7,15,12
SACRAMENTO KINGS,240,32,76,7,22,9,10,14,18,14,6,3,22,23
TORONTO RAPTORS,240,34,84,4,16,11,14,10,35,16,8,5,7,19
SAN ANTONIO SPURS,240,23,72,7,25,20,28,15,36,11,3,4,19,17
