team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,30,78,1,7,15,22,8,30,17,2,4,10,15
CHARLOTTE BOBCATS,240,34,79,7,15,16,22,9,38,22,5,4,8,22
PHILADELPHIA 76ERS,240,33,82,5,10,13,18,12,35,21,4,5,18,27
DALLAS MAVERICKS,240,37,83,6,19,19,27,11,36,25,9,8,12,17
BOSTON CELTICS,240,31,73,6,21,33,44,7,35,17,12,8,13,24
INDIANA PACERS,240,29,83,8,25,20,26,16,31,16,2,2,22,35
HOUSTON ROCKETS,240,39,83,4,19,17,24,9,27,17,10,3,9,29
MEMPHIS GRIZZLIES,240,35,70,1,11,34,41,9,35,19,6,4,17,22
SEATTLE SUPERSONICS,240,33,96,2,10,8,14,12,32,16,14,5,17,23
ORLANDO MAGIC,240,38,82,10,25,17,22,10,48,24,6,4,26,16
NEW YORK KNICKS,240,40,86,6,16,16,22,12,24,19,9,3,17,26
PHOENIX SUNS,240,41,73,7,19,24,30,9,29,23,11,8,18,20
DETROIT PISTONS,240,37,84,8,16,12,16,11,25,22,6,3,11,21
PORTLAND TRAIL BLAZERS,240,40,73,6,15,16,22,7,36,22,4,1,13,18
LOS ANGELES LAKERS,240,36,82,2,16,18,21,10,40,15,6,9,19,14
SAN ANTONIO SPURS,240,40,91,13,27,14,15,8,32,29,9,5,11,21
