team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
HOUSTON ROCKETS,240,32,79,8,23,21,30,8,39,23,7,8,12,19
CLEVELAND CAVALIERS,240,31,80,6,17,17,23,9,36,16,8,6,13,20
BOSTON CELTICS,240,44,99,11,33,19,28,14,33,19,8,6,13,33
DENVER NUGGETS,240,41,80,8,17,34,49,8,37,29,9,12,16,26
ORLANDO MAGIC,240,36,74,13,20,18,23,6,30,18,6,6,14,24
DETROIT PISTONS,240,32,83,2,14,19,25,15,29,17,9,8,13,21
ATLANTA HAWKS,240,34,81,5,13,20,27,11,28,19,7,7,23,24
LOS ANGELES LAKERS,240,47,92,6,18,22,24,13,32,22,16,5,12,21
PHILADELPHIA 76ERS,240,35,78,1,6,17,30,11,28,19,7,3,11,19
MINNESOTA TIMBERWOLVES,240,40,81,7,20,17,24,14,31,25,6,3,14,24
SACRAMENTO KINGS,240,39,81,10,19,17,21,12,33,23,6,2,11,18
PORTLAND TRAIL BLAZERS,240,39,86,6,19,10,16,10,27,27,5,8,7,16
CHARLOTTE BOBCATS,240,22,77,4,14,17,24,10,27,13,15,1,14,17
SAN ANTONIO SPURS,240,31,72,9,26,14,19,9,45,23,6,8,20,21
MEMPHIS GRIZZLIES,240,41,98,6,19,13,18,13,32,22,11,7,12,20
SEATTLE SUPERSONICS,240,42,80,7,11,17,25,9,40,23,5,4,20,21
GOLDEN STATE WARRIORS,240,43,87,9,25,14,21,8,25,21,8,4,12,22
UTAH JAZZ,240,45,84,8,16,21,23,12,33,31,4,6,19,21
NEW YORK KNICKS,265,36,77,10,27,31,38,10,35,24,7,2,14,20
WASHINGTON WIZARDS,265,36,88,7,20,21,26,11,31,15,11,4,11,27
