team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,265,40,87,9,17,27,36,15,38,21,8,11,19,30
CHARLOTTE BOBCATS,265,36,82,11,25,32,45,9,32,21,10,8,13,29
DENVER NUGGETS,240,43,89,10,28,25,32,13,24,17,5,7,15,21
CHICAGO BULLS,240,56,98,11,22,12,20,16,28,34,7,5,12,25
WASHINGTON WIZARDS,240,32,70,4,13,21,29,3,28,18,9,4,8,17
CLEVELAND CAVALIERS,240,34,76,12,32,10,17,13,30,23,4,4,13,22
MILWAUKEE BUCKS,240,37,75,4,10,22,33,9,23,16,6,8,15,26
DETROIT PISTONS,240,46,89,7,19,28,36,16,26,33,8,8,6,23
ATLANTA HAWKS,240,42,90,10,23,23,27,18,35,26,7,6,20,17
GOLDEN STATE WARRIORS,240,46,96,6,26,12,17,11,29,20,9,6,14,22
NEW JERSEY NETS,240,38,78,10,22,17,27,10,29,22,10,5,22,26
INDIANA PACERS,240,39,87,12,28,23,29,16,27,21,8,2,15,20
UTAH JAZZ,240,39,76,0,13,26,38,15,26,23,6,2,16,26
LOS ANGELES CLIPPERS,240,36,75,4,11,38,41,11,22,24,7,5,11,28
DALLAS MAVERICKS,240,38,76,9,19,13,18,13,34,32,12,2,21,22
MEMPHIS GRIZZLIES,240,30,80,4,19,19,27,13,27,16,11,3,16,22
HOUSTON ROCKETS,240,42,85,6,19,10,13,15,40,21,2,1,11,21
NEW ORLEANS HORNETS,240,32,80,2,11,14,25,12,26,20,5,7,9,17
TORONTO RAPTORS,240,35,75,10,26,19,25,5,31,22,8,2,16,24
NEW YORK KNICKS,240,36,81,8,24,23,28,12,33,17,6,2,14,19
PHILADELPHIA 76ERS,240,36,79,3,13,24,32,10,24,12,5,7,9,16
ORLANDO MAGIC,240,42,82,15,33,16,20,9,29,24,4,5,11,20
BOSTON CELTICS,240,30,78,4,17,13,16,8,24,14,13,5,20,27
PHOENIX SUNS,240,31,73,5,11,18,28,12,38,14,7,7,24,20
PORTLAND TRAIL BLAZERS,240,29,78,4,18,25,30,14,27,17,8,4,12,22
SEATTLE SUPERSONICS,240,36,78,5,8,22,28,15,29,13,5,3,16,25
