team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHARLOTTE BOBCATS,240,37,75,9,19,12,23,8,16,22,13,5,16,21
CHICAGO BULLS,240,44,81,6,10,17,19,19,29,25,9,7,20,17
MINNESOTA TIMBERWOLVES,240,33,86,6,22,8,12,9,34,16,8,6,17,17
MEMPHIS GRIZZLIES,240,42,85,13,29,12,17,10,41,29,9,12,14,16
DETROIT PISTONS,240,44,86,7,15,22,25,15,22,25,7,5,12,24
MILWAUKEE BUCKS,240,39,70,4,13,9,21,6,24,25,5,3,19,23
PHILADELPHIA 76ERS,265,31,74,3,12,27,33,10,33,19,9,7,15,28
NEW JERSEY NETS,265,32,79,6,24,24,29,9,27,23,5,7,14,24
DALLAS MAVERICKS,265,39,90,6,20,24,26,12,33,25,4,4,9,26
NEW ORLEANS HORNETS,265,38,87,6,17,30,34,14,32,21,5,4,8,20
HOUSTON ROCKETS,240,35,82,7,24,22,25,13,35,16,5,6,13,27
SACRAMENTO KINGS,240,39,87,4,14,25,31,11,31,16,9,4,5,17
TORONTO RAPTORS,240,38,88,11,27,10,11,10,26,26,6,1,10,21
WASHINGTON WIZARDS,240,39,69,10,19,13,21,5,33,23,6,4,15,11
