team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,265,48,92,6,16,18,19,10,27,36,5,3,13,24
ATLANTA HAWKS,265,47,92,12,22,21,25,13,34,35,7,3,14,17
INDIANA PACERS,240,26,73,6,29,19,31,14,27,13,11,3,20,20
BOSTON CELTICS,240,35,79,6,24,16,21,12,39,27,9,3,18,24
CLEVELAND CAVALIERS,240,46,87,3,13,23,34,17,30,28,10,7,10,23
CHARLOTTE BOBCATS,240,43,81,5,14,23,32,12,26,26,7,4,14,22
GOLDEN STATE WARRIORS,240,33,86,4,16,16,19,12,26,10,7,6,15,14
DALLAS MAVERICKS,240,45,94,7,21,14,16,17,39,35,10,6,11,15
PORTLAND TRAIL BLAZERS,240,34,81,12,27,11,15,12,26,20,7,2,14,23
LOS ANGELES LAKERS,240,37,75,8,17,22,25,8,34,26,9,4,14,16
NEW YORK KNICKS,240,42,95,5,20,25,32,17,30,23,10,2,10,21
MEMPHIS GRIZZLIES,240,48,80,15,33,19,26,3,39,21,3,1,14,22
NEW ORLEANS HORNETS,240,41,85,7,18,17,25,12,38,22,7,2,6,20
MIAMI HEAT,240,27,74,11,27,12,19,8,32,20,5,5,13,21
LOS ANGELES CLIPPERS,240,40,84,5,11,17,19,11,38,21,10,5,17,18
SEATTLE SUPERSONICS,240,35,93,1,11,13,20,17,33,17,5,3,14,19
MINNESOTA TIMBERWOLVES,240,35,74,7,17,23,29,10,22,24,10,0,15,18
UTAH JAZZ,240,44,74,12,22,17,22,8,29,30,9,3,15,19
MILWAUKEE BUCKS,240,46,84,7,22,11,19,12,29,29,6,4,16,18
WASHINGTON WIZARDS,240,43,77,7,17,16,23,8,26,22,12,3,16,22
