team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHOENIX SUNS,240,35,86,11,27,15,17,10,30,21,5,3,14,18
ATLANTA HAWKS,240,41,90,4,16,19,23,17,39,22,11,8,16,21
DENVER NUGGETS,240,34,74,7,19,18,24,5,22,23,11,1,24,22
BOSTON CELTICS,240,49,76,7,19,14,22,7,31,32,20,2,20,21
LOS ANGELES CLIPPERS,240,34,83,8,15,28,35,13,40,18,8,2,16,22
INDIANA PACERS,240,32,83,6,19,19,24,9,31,22,5,6,15,24
CHARLOTTE BOBCATS,240,23,75,0,13,17,23,18,28,16,5,3,26,21
PHILADELPHIA 76ERS,240,33,72,5,11,23,32,16,29,18,17,7,20,22
NEW ORLEANS HORNETS,240,34,87,3,12,19,22,16,34,16,7,3,12,20
PORTLAND TRAIL BLAZERS,240,35,86,5,15,18,24,12,33,23,7,1,11,22
MIAMI HEAT,240,31,72,4,13,12,21,7,26,20,9,2,14,19
SAN ANTONIO SPURS,240,34,71,7,26,13,21,8,34,21,6,3,14,17
MEMPHIS GRIZZLIES,240,35,93,10,25,25,32,21,32,18,5,5,18,16
SEATTLE SUPERSONICS,240,39,85,3,12,17,19,13,32,18,10,9,18,29
ORLANDO MAGIC,240,38,76,12,31,17,22,7,44,25,2,5,17,19
TORONTO RAPTORS,240,34,89,6,20,22,26,12,29,17,7,0,8,22
CLEVELAND CAVALIERS,240,37,85,8,20,19,29,15,32,20,12,7,18,28
UTAH JAZZ,240,34,74,1,6,34,40,9,34,24,12,6,17,26
