team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,63,94,11,24,14,18,6,29,42,11,3,10,27
MILWAUKEE BUCKS,240,50,87,9,18,26,36,12,24,33,7,3,14,16
BOSTON CELTICS,240,37,77,7,16,18,26,9,34,13,7,5,14,20
NEW YORK KNICKS,240,34,85,10,29,15,20,13,33,23,8,2,14,22
CLEVELAND CAVALIERS,240,37,76,4,14,13,21,13,30,16,5,6,17,19
PHILADELPHIA 76ERS,240,38,81,1,8,13,21,12,30,13,10,3,12,17
GOLDEN STATE WARRIORS,240,46,104,10,23,14,20,14,29,21,10,3,9,31
PHOENIX SUNS,240,43,82,8,21,28,41,14,38,24,6,4,14,18
SAN ANTONIO SPURS,240,39,75,6,19,17,21,4,27,23,6,2,12,24
SACRAMENTO KINGS,240,38,76,2,10,20,25,10,21,18,8,4,12,18
MIAMI HEAT,240,30,81,9,25,6,6,11,27,19,5,4,14,16
TORONTO RAPTORS,240,35,76,7,18,14,17,12,30,27,9,9,12,11
HOUSTON ROCKETS,240,28,70,10,26,30,36,7,31,18,7,3,10,28
UTAH JAZZ,240,37,77,3,16,28,38,16,34,21,6,5,13,28
INDIANA PACERS,240,37,79,14,30,22,32,5,26,29,6,4,12,22
WASHINGTON WIZARDS,240,43,95,13,24,18,30,20,38,22,4,2,12,25
