team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,27,68,4,11,20,30,11,26,14,7,9,16,22
CHICAGO BULLS,240,35,88,5,12,15,22,23,36,21,7,3,15,25
BOSTON CELTICS,265,37,86,10,25,20,29,10,30,26,8,7,12,22
CLEVELAND CAVALIERS,265,38,79,5,20,28,36,8,39,24,5,7,12,19
INDIANA PACERS,240,44,91,6,21,18,28,12,47,31,6,8,24,28
DENVER NUGGETS,240,35,97,9,22,31,38,15,32,25,9,8,16,25
SEATTLE SUPERSONICS,240,38,91,5,13,18,28,13,28,17,7,5,9,24
LOS ANGELES LAKERS,240,36,79,4,11,30,36,11,37,24,3,3,11,24
CHARLOTTE BOBCATS,240,34,74,4,16,18,24,10,21,20,6,6,18,23
MIAMI HEAT,240,40,69,5,10,25,31,6,25,22,11,8,13,19
PHILADELPHIA 76ERS,240,45,86,8,21,16,21,15,24,31,8,5,9,20
MILWAUKEE BUCKS,240,37,75,4,21,21,23,12,23,20,8,4,14,19
MEMPHIS GRIZZLIES,240,38,76,11,22,23,32,4,35,32,4,3,10,26
NEW JERSEY NETS,240,38,84,7,24,20,26,8,37,29,5,3,10,27
