team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,30,87,3,13,21,28,14,26,22,3,6,10,21
ATLANTA HAWKS,240,39,84,5,8,22,25,17,37,23,8,12,16,28
INDIANA PACERS,240,37,77,8,22,19,24,4,39,28,9,10,23,22
GOLDEN STATE WARRIORS,240,41,98,8,33,16,28,16,34,21,13,2,14,21
NEW ORLEANS HORNETS,240,36,85,5,11,10,11,11,27,16,10,2,11,18
HOUSTON ROCKETS,240,31,73,4,18,16,22,8,31,17,6,5,16,17
MEMPHIS GRIZZLIES,240,41,96,10,25,7,11,16,34,28,7,7,14,21
LOS ANGELES LAKERS,240,36,83,8,25,20,28,10,34,20,11,5,11,15
DETROIT PISTONS,240,23,75,2,15,17,22,12,31,9,3,2,11,16
NEW YORK KNICKS,240,34,72,5,20,16,27,7,33,21,6,2,6,17
PORTLAND TRAIL BLAZERS,290,44,107,8,21,13,14,16,36,24,4,3,9,23
TORONTO RAPTORS,290,45,93,8,20,18,23,7,37,25,4,6,8,22
