team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MILWAUKEE BUCKS,240,31,79,6,17,17,21,11,32,21,3,9,13,23,away,loss,85.0,PHILADELPHIA 76ERS,93.0
PHILADELPHIA 76ERS,240,36,89,5,11,16,23,17,35,21,9,4,9,20,home,win,93.0,MILWAUKEE BUCKS,85.0
