team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
SAN ANTONIO SPURS,240,36,75,10,21,22,32,14,40,23,7,5,18,23,away,win,104.0,DALLAS MAVERICKS,90.0
DALLAS MAVERICKS,240,33,95,9,17,15,22,21,27,19,8,6,11,28,home,loss,90.0,SAN ANTONIO SPURS,104.0
TORONTO RAPTORS,240,38,83,9,21,7,13,10,31,29,6,5,9,20,away,loss,92.0,PHILADELPHIA 76ERS,97.0
PHILADELPHIA 76ERS,240,34,79,4,7,25,26,11,33,14,8,5,9,16,home,win,97.0,TORONTO RAPTORS,92.0
