team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
INDIANA PACERS,240,38,87,5,16,11,13,12,30,24,4,5,6,20,away,win,92.0,CLEVELAND CAVALIERS,90.0
CLEVELAND CAVALIERS,240,37,79,0,1,16,20,8,31,20,4,4,9,17,home,loss,90.0,INDIANA PACERS,92.0
PHILADELPHIA 76ERS,240,40,85,2,7,17,22,11,42,21,6,7,15,17,away,win,99.0,DETROIT PISTONS,78.0
DETROIT PISTONS,240,34,101,6,17,4,7,22,31,14,7,8,14,21,home,loss,78.0,PHILADELPHIA 76ERS,99.0
ORLANDO MAGIC,240,36,84,9,23,14,21,13,19,22,7,5,15,26,away,loss,95.0,HOUSTON ROCKETS,105.0
HOUSTON ROCKETS,240,37,74,3,7,28,38,13,36,23,7,6,18,20,home,win,105.0,ORLANDO MAGIC,95.0
ATLANTA HAWKS,240,43,92,3,11,17,18,10,29,16,5,4,13,19,away,loss,106.0,LOS ANGELES LAKERS,113.0
LOS ANGELES LAKERS,240,46,90,5,15,16,25,13,32,30,8,8,12,13,home,win,113.0,ATLANTA HAWKS,106.0
VANCOUVER GRIZZLIES,240,28,78,6,11,19,21,10,33,21,8,2,17,16,away,loss,81.0,MILWAUKEE BUCKS,93.0
MILWAUKEE BUCKS,240,37,90,9,24,10,12,16,38,25,9,5,15,20,home,win,93.0,VANCOUVER GRIZZLIES,81.0
GOLDEN STATE WARRIORS,240,33,91,3,14,14,18,20,27,22,5,2,15,13,away,loss,83.0,MINNESOTA TIMBERWOLVES,122.0
MINNESOTA TIMBERWOLVES,240,51,88,9,21,11,15,8,33,38,10,5,7,20,home,win,122.0,GOLDEN STATE WARRIORS,83.0
PHOENIX SUNS,265,39,80,3,9,7,14,6,32,23,8,3,14,23,away,win,88.0,NEW YORK KNICKS,84.0
NEW YORK KNICKS,265,31,80,5,18,17,19,12,36,16,5,0,19,18,home,loss,84.0,PHOENIX SUNS,88.0
BOSTON CELTICS,240,29,78,2,20,22,30,8,28,18,9,4,7,19,away,loss,82.0,SAN ANTONIO SPURS,100.0
SAN ANTONIO SPURS,240,35,75,8,17,22,25,10,37,23,3,8,12,24,home,win,100.0,BOSTON CELTICS,82.0
UTAH JAZZ,240,36,83,3,10,21,31,14,25,23,12,2,9,22,away,win,96.0,SEATTLE SUPERSONICS,84.0
SEATTLE SUPERSONICS,240,29,67,8,21,18,24,8,29,20,7,8,19,26,home,loss,84.0,UTAH JAZZ,96.0
SACRAMENTO KINGS,315,43,102,8,23,25,29,12,43,20,8,8,17,19,away,win,119.0,TORONTO RAPTORS,118.0
TORONTO RAPTORS,315,46,109,8,19,18,20,10,38,26,11,15,10,26,home,loss,118.0,SACRAMENTO KINGS,119.0
