team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CLEVELAND CAVALIERS,240,35,76,5,9,23,26,10,22,19,5,2,13,26,away,loss,98.0,CHARLOTTE HORNETS,109.0
CHARLOTTE HORNETS,240,36,79,3,12,34,42,14,26,28,7,6,10,21,home,win,109.0,CLEVELAND CAVALIERS,98.0
DENVER NUGGETS,240,32,80,4,13,16,27,16,34,20,4,3,11,20,away,loss,84.0,DALLAS MAVERICKS,108.0
DALLAS MAVERICKS,240,39,81,11,19,19,25,11,35,26,6,7,7,22,home,win,108.0,DENVER NUGGETS,84.0
MINNESOTA TIMBERWOLVES,240,34,88,5,20,20,24,17,24,23,6,4,16,35,away,loss,93.0,GOLDEN STATE WARRIORS,114.0
GOLDEN STATE WARRIORS,240,43,75,2,8,26,45,12,34,34,11,7,12,24,home,win,114.0,MINNESOTA TIMBERWOLVES,93.0
PHOENIX SUNS,265,35,86,5,12,20,24,6,30,25,18,5,13,27,away,win,95.0,LOS ANGELES CLIPPERS,89.0
LOS ANGELES CLIPPERS,265,32,83,3,16,22,27,18,40,18,5,9,28,25,home,loss,89.0,PHOENIX SUNS,95.0
HOUSTON ROCKETS,240,32,66,6,13,21,23,9,33,14,8,3,12,23,away,win,91.0,MIAMI HEAT,80.0
MIAMI HEAT,240,23,66,4,13,30,34,9,23,10,8,0,12,24,home,loss,80.0,HOUSTON ROCKETS,91.0
TORONTO RAPTORS,240,31,77,4,14,13,22,11,30,19,9,1,13,13,away,win,79.0,NEW YORK KNICKS,75.0
NEW YORK KNICKS,240,33,73,4,13,5,7,4,36,14,5,4,17,24,home,loss,75.0,TORONTO RAPTORS,79.0
ATLANTA HAWKS,240,34,78,2,11,22,32,13,25,20,10,8,20,35,away,loss,92.0,ORLANDO MAGIC,114.0
ORLANDO MAGIC,240,42,93,8,19,22,29,24,30,26,8,3,20,28,home,win,114.0,ATLANTA HAWKS,92.0
NEW JERSEY NETS,240,31,71,2,11,20,23,12,24,14,7,0,21,21,away,loss,84.0,PORTLAND TRAIL BLAZERS,86.0
PORTLAND TRAIL BLAZERS,240,32,68,6,16,16,22,12,25,22,6,2,23,23,home,win,86.0,NEW JERSEY NETS,84.0
SEATTLE SUPERSONICS,240,33,82,3,11,32,37,13,25,14,9,1,19,21,away,loss,101.0,SACRAMENTO KINGS,125.0
SACRAMENTO KINGS,240,50,96,6,17,19,25,17,34,34,15,7,15,23,home,win,125.0,SEATTLE SUPERSONICS,101.0
PHILADELPHIA 76ERS,240,27,77,1,10,21,28,14,36,11,4,8,22,22,away,loss,76.0,SAN ANTONIO SPURS,96.0
SAN ANTONIO SPURS,240,36,81,7,14,17,25,7,33,26,12,7,10,23,home,win,96.0,PHILADELPHIA 76ERS,76.0
MILWAUKEE BUCKS,240,33,83,6,20,28,32,12,28,16,11,5,16,35,away,loss,100.0,WASHINGTON WIZARDS,107.0
WASHINGTON WIZARDS,240,35,82,3,11,34,40,16,30,22,6,7,17,25,home,win,107.0,MILWAUKEE BUCKS,100.0
