team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
PHILADELPHIA 76ERS,240,32,80,5,14,29,39,14,28,19,8,8,20,30,away,loss,98.0,DENVER NUGGETS,105.0
DENVER NUGGETS,240,34,85,3,14,34,39,13,34,21,9,8,13,29,home,win,105.0,PHILADELPHIA 76ERS,98.0
LOS ANGELES CLIPPERS,240,28,62,2,14,20,34,11,25,7,6,2,22,21,away,loss,78.0,NEW YORK KNICKS,106.0
NEW YORK KNICKS,240,44,78,6,12,12,16,9,27,22,10,2,12,25,home,win,106.0,LOS ANGELES CLIPPERS,78.0
