team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
LOS ANGELES CLIPPERS,240,40,82,6,16,17,30,8,33,21,4,9,9,32,2000-11-05,away,loss,103.0,LOS ANGELES LAKERS,108.0,0.32786885245901637,0.2727272727272727,41
LOS ANGELES LAKERS,240,39,93,4,15,26,36,17,29,28,1,7,9,22,2000-11-05,home,win,108.0,LOS ANGELES CLIPPERS,103.0,0.29545454545454547,0.21052631578947367,46
HOUSTON ROCKETS,240,33,74,6,13,27,37,16,23,20,6,4,15,21,2000-11-05,away,loss,99.0,PHOENIX SUNS,104.0,0.308411214953271,0.3157894736842105,39
PHOENIX SUNS,240,37,78,6,17,24,28,12,24,23,7,5,11,29,2000-11-05,home,win,104.0,HOUSTON ROCKETS,99.0,0.3217391304347826,0.2608695652173913,36
