team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
LOS ANGELES LAKERS,240,35,75,4,10,22,25,10,30,18,8,6,13,26,2001-06-10,away,win,96.0,PHILADELPHIA 76ERS,91.0,0.3181818181818182,0.2857142857142857,40
PHILADELPHIA 76ERS,240,33,80,2,12,23,30,13,29,17,5,6,14,22,2001-06-10,home,loss,91.0,LOS ANGELES LAKERS,96.0,0.2920353982300885,0.14285714285714285,42
