slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
onealsh01,Shaquille O'Neal,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,2225,15,27,0,0,5,11,6,6,1,1,1,4,4,22.5
horryro01,Robert Horry,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,2180,3,5,0,2,2,2,6,14,4,2,1,0,6,17.2
bibbymi01,Mike Bibby,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,2635,6,15,2,3,6,8,2,1,8,1,0,2,1,17.0
webbech01,Chris Webber,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,2805,9,22,0,0,3,11,2,11,5,2,5,2,3,16.5
jacksbo01,Bobby Jackson,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,1389,5,9,2,3,5,6,1,2,1,0,0,1,2,12.5
bryanko01,Kobe Bryant,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,2408,9,21,1,2,3,5,1,5,2,1,1,4,3,10.2
chrisdo01,Doug Christie,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,2728,3,7,3,5,4,5,1,3,3,3,0,4,5,9.6
divacvl01,Vlade Divac,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,2177,5,13,0,0,5,6,4,10,0,1,0,3,6,8.9
turkohe01,Hedo Türkoğlu,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,2008,4,8,0,1,0,2,1,6,3,0,1,1,4,5.9
georgde01,Devean George,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,1344,2,8,1,4,1,2,3,1,2,1,0,1,2,3.8
foxri01,Rick Fox,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,1786,4,9,0,3,2,2,0,1,2,1,0,3,5,3.0
pollasc01,Scot Pollard,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,658,1,1,0,0,0,0,1,1,1,1,0,0,4,2.8
fishede01,Derek Fisher,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,2184,1,9,1,6,1,2,0,4,4,3,0,1,4,2.1
walkesa01,Samaki Walker,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,1200,2,6,0,0,1,1,2,3,1,0,0,1,4,2.0
shawbr01,Brian Shaw,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
madsema01,Mark Madsen,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,9,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
hunteli01,Lindsey Hunter,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,713,0,3,0,1,0,0,0,0,1,0,0,1,3,-3.6
