slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
iversal01,Allen Iverson,PHILADELPHIA 76ERS,HOME,LOS ANGELES CLIPPERS,WIN,2244,10,22,1,2,9,11,3,7,11,4,0,3,1,30.3
campbel01,Elden Campbell,CHARLOTTE HORNETS,HOME,DENVER NUGGETS,WIN,1897,7,12,0,0,7,9,6,12,4,2,4,3,2,26.2
davisda01,Dale Davis,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,WIN,1897,8,11,0,0,4,4,7,8,2,0,2,0,2,24.8
cambyma01,Marcus Camby,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,LOSS,2633,10,24,0,0,1,1,8,14,0,2,6,0,2,23.4
trentga01,Gary Trent,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,WIN,2250,7,13,0,0,6,7,5,5,5,1,1,0,3,22.3
artesro01,Metta World Peace,CHICAGO BULLS,HOME,SEATTLE SUPERSONICS,LOSS,2298,8,13,3,6,7,8,3,6,2,1,1,3,4,22.1
stackje01,Jerry Stackhouse,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2081,8,18,4,6,4,6,0,1,10,2,0,1,1,21.7
garneke01,Kevin Garnett,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,WIN,2141,9,20,1,3,4,5,3,9,6,0,0,0,0,21.2
millemi01,Mike Miller,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2495,9,18,4,8,5,8,3,6,5,1,0,4,2,20.4
paytoga01,Gary Payton,SEATTLE SUPERSONICS,AWAY,CHICAGO BULLS,WIN,1976,12,25,0,3,2,5,0,5,5,2,0,1,0,18.1
mutomdi01,Dikembe Mutombo,PHILADELPHIA 76ERS,HOME,LOS ANGELES CLIPPERS,WIN,1860,7,8,0,0,2,3,6,6,0,0,2,1,3,18.0
duncati01,Tim Duncan,SAN ANTONIO SPURS,HOME,NEW YORK KNICKS,WIN,2334,7,15,0,0,7,9,2,10,4,1,0,3,2,16.9
houstal01,Allan Houston,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,LOSS,2512,9,18,1,3,3,3,1,4,3,0,1,0,2,16.9
peelean01,Anthony Peeler,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,WIN,1375,7,11,4,6,0,0,1,3,1,1,2,0,3,16.6
richaqu01,Quentin Richardson,LOS ANGELES CLIPPERS,AWAY,PHILADELPHIA 76ERS,LOSS,2080,7,15,3,8,4,4,3,2,2,1,0,2,0,16.4
barrybr01,Brent Barry,SEATTLE SUPERSONICS,AWAY,CHICAGO BULLS,WIN,1932,4,6,1,3,1,2,0,6,5,4,1,1,0,16.0
stoudda01,Damon Stoudamire,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,WIN,1881,6,9,2,3,1,1,2,2,4,0,1,1,0,15.6
harprma01,Matt Harpring,PHILADELPHIA 76ERS,HOME,LOS ANGELES CLIPPERS,WIN,2184,7,16,0,0,5,8,3,9,4,1,0,2,2,15.2
colemde01,Derrick Coleman,PHILADELPHIA 76ERS,HOME,LOS ANGELES CLIPPERS,WIN,1898,6,9,1,1,0,0,2,6,3,1,2,0,5,14.8
armstda01,Darrell Armstrong,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1849,3,8,1,4,6,6,1,5,6,4,0,5,0,14.0
mcgratr01,Tracy McGrady,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2332,9,18,3,6,0,0,0,7,6,0,0,4,1,13.9
willico02,Corliss Williamson,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1679,7,10,0,0,1,1,1,4,3,1,0,1,3,13.6
vanexni01,Nick Van Exel,DENVER NUGGETS,AWAY,CHARLOTTE HORNETS,LOSS,2515,10,28,3,5,1,2,0,4,9,0,0,2,0,13.5
brownpj01,P.J. Brown,CHARLOTTE HORNETS,HOME,DENVER NUGGETS,WIN,2282,2,6,0,0,1,2,7,15,2,0,3,0,2,13.3
battito01,Tony Battie,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1816,4,5,0,0,2,2,1,9,1,1,2,1,1,13.2
wallara01,Rasheed Wallace,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,WIN,1678,5,10,0,1,2,3,0,7,4,1,1,0,1,12.8
rosema01,Malik Rose,SAN ANTONIO SPURS,HOME,NEW YORK KNICKS,WIN,1128,4,9,0,0,5,6,5,1,0,2,0,1,0,12.7
anderke01,Kenny Anderson,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1789,5,10,0,0,4,4,1,1,6,1,1,1,6,12.5
mckieaa01,Aaron McKie,PHILADELPHIA 76ERS,HOME,LOS ANGELES CLIPPERS,WIN,1525,6,9,2,3,0,0,0,2,1,0,1,0,1,11.7
odomla01,Lamar Odom,LOS ANGELES CLIPPERS,AWAY,PHILADELPHIA 76ERS,LOSS,2113,3,15,0,4,7,7,2,7,7,2,2,3,2,11.7
billuch01,Chauncey Billups,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,WIN,1853,6,12,2,4,0,0,0,2,6,2,0,3,1,11.4
parketo01,Tony Parker,SAN ANTONIO SPURS,HOME,NEW YORK KNICKS,WIN,1711,6,13,0,2,2,3,1,3,5,2,0,2,2,11.2
robincl02,Clifford Robinson,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1945,6,10,1,4,0,0,0,3,5,0,0,0,4,11.2
nestera01,Rasho Nesterović,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,WIN,1560,5,7,0,0,0,0,4,3,2,0,3,2,4,10.7
robinda01,David Robinson,SAN ANTONIO SPURS,HOME,NEW YORK KNICKS,WIN,2272,3,9,0,0,2,4,1,8,2,1,7,1,2,10.7
lewisra02,Rashard Lewis,SEATTLE SUPERSONICS,AWAY,CHICAGO BULLS,WIN,1696,4,8,1,2,3,3,0,2,0,5,0,3,0,10.6
piercpa01,Paul Pierce,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,2803,7,19,2,6,4,5,3,6,6,0,0,5,4,10.6
walkean02,Antoine Walker,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,2693,8,19,2,7,1,3,3,6,4,2,0,5,3,10.6
wardch01,Charlie Ward,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,LOSS,1388,3,4,0,0,2,2,0,2,4,2,0,1,2,10.0
grantho01,Horace Grant,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2105,4,9,0,0,3,6,5,2,2,0,1,1,1,9.9
maggeco01,Corey Maggette,LOS ANGELES CLIPPERS,AWAY,PHILADELPHIA 76ERS,LOSS,1394,5,10,2,3,4,4,3,2,0,0,0,3,2,9.9
mercero01,Ron Mercer,CHICAGO BULLS,HOME,SEATTLE SUPERSONICS,LOSS,2096,8,17,0,2,0,0,0,6,6,0,0,2,4,9.7
murrala01,Lamond Murray,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1578,5,8,0,3,0,0,0,4,3,0,2,1,1,9.7
nailole01,Lee Nailon,CHARLOTTE HORNETS,HOME,DENVER NUGGETS,WIN,2018,6,15,0,0,4,4,3,5,0,0,1,1,4,9.6
olowomi01,Michael Olowokandi,LOS ANGELES CLIPPERS,AWAY,PHILADELPHIA 76ERS,LOSS,1397,5,10,0,0,1,2,4,2,1,0,1,0,3,9.2
wellsbo01,Bonzi Wells,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,WIN,1653,3,9,0,0,6,6,0,4,2,1,0,1,1,9.1
ilgauzy01,Zydrunas Ilgauskas,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,917,4,8,0,0,3,3,1,3,1,0,0,0,2,8.5
smithst01,Steve Smith,SAN ANTONIO SPURS,HOME,NEW YORK KNICKS,WIN,1563,5,8,2,2,0,0,0,2,0,1,1,1,3,8.5
szczewa02,Wally Szczerbiak,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,WIN,2265,6,14,0,0,2,2,1,4,5,0,0,2,4,8.4
anderde01,Derek Anderson,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,WIN,1498,3,6,0,1,1,1,0,4,5,0,0,0,1,8.3
davisba01,Baron Davis,CHARLOTTE HORNETS,HOME,DENVER NUGGETS,WIN,2478,5,13,1,4,2,3,2,4,7,0,1,4,4,8.1
hoibefr01,Fred Hoiberg,CHICAGO BULLS,HOME,SEATTLE SUPERSONICS,LOSS,1329,3,5,1,1,0,0,0,2,3,1,0,0,1,8.0
pippesc01,Scottie Pippen,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,WIN,1152,3,5,0,0,2,2,0,2,5,2,0,4,0,7.8
poseyja01,James Posey,DENVER NUGGETS,AWAY,CHARLOTTE HORNETS,LOSS,2187,4,12,0,4,2,2,1,6,1,1,2,1,0,7.8
hudsotr01,Troy Hudson,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1088,3,10,0,1,4,4,1,1,5,0,0,1,0,7.7
masonde01,Desmond Mason,SEATTLE SUPERSONICS,AWAY,CHICAGO BULLS,WIN,1613,3,8,0,1,4,4,0,5,2,0,0,0,2,7.7
chandty01,Tyson Chandler,CHICAGO BULLS,HOME,SEATTLE SUPERSONICS,LOSS,929,6,8,0,0,0,0,3,2,1,0,0,3,4,7.6
bakervi01,Vin Baker,SEATTLE SUPERSONICS,AWAY,CHICAGO BULLS,WIN,1722,5,12,0,0,3,4,2,4,1,1,0,2,3,7.3
longar01,Art Long,SEATTLE SUPERSONICS,AWAY,CHICAGO BULLS,WIN,1391,4,5,0,0,0,4,2,1,2,1,1,1,3,7.1
mcinnje01,Jeff McInnis,LOS ANGELES CLIPPERS,AWAY,PHILADELPHIA 76ERS,LOSS,1844,4,7,0,1,2,2,0,2,2,0,0,1,2,6.9
watsoea01,Earl Watson,SEATTLE SUPERSONICS,AWAY,CHICAGO BULLS,WIN,1521,2,4,1,1,0,0,1,2,5,0,0,1,0,6.8
mihmch01,Chris Mihm,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1484,1,6,0,0,3,4,2,6,1,1,3,0,3,6.6
brandel01,Elton Brand,LOS ANGELES CLIPPERS,AWAY,PHILADELPHIA 76ERS,LOSS,1947,4,14,0,0,1,1,8,4,1,0,1,1,4,6.4
atkinch01,Chucky Atkins,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1807,6,14,1,5,0,0,0,2,3,0,0,1,3,6.1
