team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
LOS ANGELES LAKERS,240,40,84,8,15,20,25,9,29,25,12,3,9,18,away,win,108.0,ATLANTA HAWKS,91.0
ATLANTA HAWKS,240,34,74,5,14,18,21,9,31,28,5,5,21,23,home,loss,91.0,LOS ANGELES LAKERS,108.0
GOLDEN STATE WARRIORS,240,36,94,6,20,25,36,18,22,17,7,9,16,20,away,loss,103.0,CLEVELAND CAVALIERS,124.0
CLEVELAND CAVALIERS,240,51,98,3,13,19,23,17,37,36,8,8,15,26,home,win,124.0,GOLDEN STATE WARRIORS,103.0
MIAMI HEAT,240,36,85,5,17,14,16,6,27,27,9,4,10,17,away,loss,91.0,MINNESOTA TIMBERWOLVES,108.0
MINNESOTA TIMBERWOLVES,240,42,85,6,8,18,20,13,39,28,6,6,14,17,home,win,108.0,MIAMI HEAT,91.0
WASHINGTON WIZARDS,240,41,80,3,7,10,12,10,26,25,8,7,8,20,away,win,95.0,PORTLAND TRAIL BLAZERS,91.0
PORTLAND TRAIL BLAZERS,240,37,81,4,10,13,22,16,28,27,5,4,15,16,home,loss,91.0,WASHINGTON WIZARDS,95.0
MILWAUKEE BUCKS,240,34,77,5,15,21,28,11,22,19,5,5,12,25,away,loss,94.0,SAN ANTONIO SPURS,107.0
SAN ANTONIO SPURS,240,40,80,5,19,22,26,11,33,33,8,7,14,27,home,win,107.0,MILWAUKEE BUCKS,94.0
