team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHICAGO BULLS,240,32,72,1,13,17,26,8,29,23,4,2,19,27,away,loss,82.0,BOSTON CELTICS,92.0
BOSTON CELTICS,240,32,78,7,24,21,31,15,26,17,15,5,12,24,home,win,92.0,CHICAGO BULLS,82.0
DALLAS MAVERICKS,240,37,86,2,11,26,30,15,36,19,10,7,8,19,away,win,102.0,DETROIT PISTONS,82.0
DETROIT PISTONS,240,32,81,8,19,10,14,13,30,23,4,8,17,24,home,loss,82.0,DALLAS MAVERICKS,102.0
HOUSTON ROCKETS,240,34,77,2,9,21,32,16,36,19,5,11,15,21,away,win,91.0,GOLDEN STATE WARRIORS,84.0
GOLDEN STATE WARRIORS,240,30,91,4,16,20,30,25,26,17,6,7,13,25,home,loss,84.0,HOUSTON ROCKETS,91.0
SEATTLE SUPERSONICS,240,40,83,7,16,12,16,12,20,28,11,4,13,13,away,loss,99.0,MEMPHIS GRIZZLIES,117.0
MEMPHIS GRIZZLIES,240,48,81,11,23,10,10,10,27,30,10,5,16,16,home,win,117.0,SEATTLE SUPERSONICS,99.0
CLEVELAND CAVALIERS,240,31,87,3,10,15,20,19,25,20,9,4,14,20,away,loss,80.0,MILWAUKEE BUCKS,112.0
MILWAUKEE BUCKS,240,39,82,8,19,26,32,13,32,23,8,9,10,17,home,win,112.0,CLEVELAND CAVALIERS,80.0
SACRAMENTO KINGS,240,31,81,1,10,11,24,15,34,16,5,4,19,20,away,loss,74.0,MINNESOTA TIMBERWOLVES,90.0
MINNESOTA TIMBERWOLVES,240,36,92,1,6,17,20,14,34,23,8,6,13,26,home,win,90.0,SACRAMENTO KINGS,74.0
ATLANTA HAWKS,240,35,77,5,11,19,27,14,21,21,6,1,14,19,away,loss,94.0,NEW ORLEANS HORNETS,106.0
NEW ORLEANS HORNETS,240,43,80,5,9,15,19,10,21,34,8,5,10,20,home,win,106.0,ATLANTA HAWKS,94.0
LOS ANGELES LAKERS,240,40,82,5,13,17,26,11,30,23,5,7,14,26,away,loss,102.0,ORLANDO MAGIC,112.0
ORLANDO MAGIC,240,37,81,10,19,28,35,13,30,18,5,2,10,20,home,win,112.0,LOS ANGELES LAKERS,102.0
MIAMI HEAT,240,30,80,2,14,12,15,11,37,20,9,6,17,19,away,loss,74.0,PHILADELPHIA 76ERS,83.0
PHILADELPHIA 76ERS,240,32,83,2,7,17,20,10,31,19,12,8,12,19,home,win,83.0,MIAMI HEAT,74.0
NEW JERSEY NETS,240,26,88,4,19,19,25,15,35,17,12,7,12,26,away,loss,75.0,PHOENIX SUNS,82.0
PHOENIX SUNS,240,30,85,4,14,18,23,13,44,18,6,6,17,21,home,win,82.0,NEW JERSEY NETS,75.0
DENVER NUGGETS,240,27,76,1,6,13,19,13,28,12,7,4,26,25,away,loss,68.0,SAN ANTONIO SPURS,99.0
SAN ANTONIO SPURS,240,38,82,10,24,13,22,14,35,21,10,9,18,28,home,win,99.0,DENVER NUGGETS,68.0
NEW YORK KNICKS,240,31,78,5,17,20,27,11,39,18,5,3,10,21,away,win,87.0,TORONTO RAPTORS,81.0
TORONTO RAPTORS,240,31,78,3,10,16,25,12,30,20,7,5,12,23,home,loss,81.0,NEW YORK KNICKS,87.0
