team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
WASHINGTON WIZARDS,240,38,72,1,5,30,34,11,42,23,6,6,18,21,away,win,107.0,CHICAGO BULLS,82.0
CHICAGO BULLS,240,33,91,4,13,12,26,11,21,18,9,3,11,28,home,loss,82.0,WASHINGTON WIZARDS,107.0
LOS ANGELES CLIPPERS,240,31,83,7,23,23,34,15,41,16,5,3,19,24,away,loss,92.0,DALLAS MAVERICKS,102.0
DALLAS MAVERICKS,240,38,89,1,11,25,30,9,35,19,7,11,8,24,home,win,102.0,LOS ANGELES CLIPPERS,92.0
PHILADELPHIA 76ERS,240,34,79,4,8,6,11,10,23,24,8,4,15,21,away,loss,78.0,PHOENIX SUNS,96.0
PHOENIX SUNS,240,38,81,8,15,12,16,14,31,22,8,9,17,16,home,win,96.0,PHILADELPHIA 76ERS,78.0
