team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
LOS ANGELES LAKERS,265,37,95,3,22,18,19,13,31,19,11,9,14,22,2002-11-07,away,loss,95.0,BOSTON CELTICS,98.0,0.2803030303030303,0.12,44
BOSTON CELTICS,265,37,86,13,32,11,18,10,36,22,10,5,18,18,2002-11-07,home,win,98.0,LOS ANGELES LAKERS,95.0,0.3008130081300813,0.28888888888888886,46
DETROIT PISTONS,240,33,69,9,17,14,19,8,36,23,9,7,17,28,2002-11-07,away,win,89.0,DENVER NUGGETS,63.0,0.3235294117647059,0.34615384615384615,44
DENVER NUGGETS,240,23,72,2,9,15,23,10,27,18,10,5,20,21,2002-11-07,home,loss,63.0,DETROIT PISTONS,89.0,0.24210526315789474,0.18181818181818182,37
MILWAUKEE BUCKS,240,46,91,7,16,11,16,10,33,21,7,5,12,27,2002-11-07,away,loss,110.0,MINNESOTA TIMBERWOLVES,114.0,0.3357664233576642,0.30434782608695654,43
MINNESOTA TIMBERWOLVES,240,44,87,5,12,21,28,9,34,31,5,3,11,16,2002-11-07,home,win,114.0,MILWAUKEE BUCKS,110.0,0.33587786259541985,0.29411764705882354,43
