team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW JERSEY NETS,265,39,75,3,10,33,47,11,30,23,5,4,14,30,away,loss,114.0,MILWAUKEE BUCKS,119.0
MILWAUKEE BUCKS,265,42,92,11,24,24,28,12,31,20,3,3,10,37,home,win,119.0,NEW JERSEY NETS,114.0
PHILADELPHIA 76ERS,240,30,70,2,14,23,26,6,27,17,3,1,16,20,away,loss,85.0,NEW ORLEANS HORNETS,99.0
NEW ORLEANS HORNETS,240,35,87,8,23,21,24,21,30,22,8,2,10,23,home,win,99.0,PHILADELPHIA 76ERS,85.0
SACRAMENTO KINGS,240,38,84,8,20,20,28,17,23,21,2,9,14,34,away,loss,104.0,UTAH JAZZ,107.0
UTAH JAZZ,240,35,79,2,3,35,49,16,27,23,8,9,7,21,home,win,107.0,SACRAMENTO KINGS,104.0
