team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
DETROIT PISTONS,240,48,87,9,20,16,21,13,39,28,4,8,11,19,2016-11-30,away,win,121.0,BOSTON CELTICS,114.0,0.35555555555555557,0.3103448275862069,52
BOSTON CELTICS,240,40,91,15,42,19,20,9,24,26,6,3,5,17,2016-11-30,home,loss,114.0,DETROIT PISTONS,121.0,0.3053435114503817,0.2631578947368421,33
LOS ANGELES LAKERS,240,33,81,2,8,28,41,18,42,17,12,3,23,24,2016-11-30,away,win,96.0,CHICAGO BULLS,90.0,0.2894736842105263,0.2,60
CHICAGO BULLS,240,32,91,4,21,22,29,14,32,22,15,11,14,26,2016-11-30,home,loss,90.0,LOS ANGELES LAKERS,96.0,0.2601626016260163,0.16,46
SAN ANTONIO SPURS,240,33,71,11,19,17,24,7,35,16,7,6,11,11,2016-11-30,away,win,94.0,DALLAS MAVERICKS,87.0,0.3173076923076923,0.36666666666666664,42
DALLAS MAVERICKS,240,33,77,10,30,11,14,8,29,16,5,3,11,18,2016-11-30,home,loss,87.0,SAN ANTONIO SPURS,94.0,0.3,0.25,37
MIAMI HEAT,240,41,93,9,24,15,26,11,37,26,14,7,6,25,2016-11-30,away,win,106.0,DENVER NUGGETS,98.0,0.30597014925373134,0.2727272727272727,48
DENVER NUGGETS,240,38,91,7,22,15,24,14,41,28,3,7,19,21,2016-11-30,home,loss,98.0,MIAMI HEAT,106.0,0.29457364341085274,0.2413793103448276,55
NEW YORK KNICKS,240,41,91,13,32,11,15,12,27,24,8,3,13,26,2016-11-30,away,win,106.0,MINNESOTA TIMBERWOLVES,104.0,0.3106060606060606,0.28888888888888886,39
MINNESOTA TIMBERWOLVES,240,34,77,4,19,32,39,11,29,17,9,5,15,17,2016-11-30,home,loss,104.0,NEW YORK KNICKS,106.0,0.3063063063063063,0.17391304347826086,40
WASHINGTON WIZARDS,265,44,98,10,28,17,26,11,37,25,8,3,11,25,2016-11-30,away,loss,115.0,OKLAHOMA CITY THUNDER,126.0,0.30985915492957744,0.2631578947368421,48
OKLAHOMA CITY THUNDER,265,46,95,12,30,22,31,9,38,28,10,4,13,22,2016-11-30,home,win,126.0,WASHINGTON WIZARDS,115.0,0.3262411347517731,0.2857142857142857,47
ATLANTA HAWKS,240,45,89,9,25,8,10,7,33,20,9,6,20,22,2016-11-30,away,loss,107.0,PHOENIX SUNS,109.0,0.3358208955223881,0.2647058823529412,40
PHOENIX SUNS,240,40,89,10,21,19,25,13,28,15,11,4,15,17,2016-11-30,home,win,109.0,ATLANTA HAWKS,107.0,0.31007751937984496,0.3225806451612903,41
INDIANA PACERS,240,36,72,6,14,31,35,4,28,19,3,4,15,14,2016-11-30,away,loss,109.0,PORTLAND TRAIL BLAZERS,131.0,0.3333333333333333,0.3,32
PORTLAND TRAIL BLAZERS,240,51,94,12,32,17,19,14,26,29,13,2,6,23,2016-11-30,home,win,131.0,INDIANA PACERS,109.0,0.35172413793103446,0.2727272727272727,40
MEMPHIS GRIZZLIES,240,36,82,11,27,22,26,12,18,16,13,1,14,25,2016-11-30,away,loss,105.0,TORONTO RAPTORS,120.0,0.3050847457627119,0.2894736842105263,30
TORONTO RAPTORS,240,38,69,16,32,28,33,10,33,23,7,4,18,25,2016-11-30,home,win,120.0,MEMPHIS GRIZZLIES,105.0,0.35514018691588783,0.3333333333333333,43
