team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CLEVELAND CAVALIERS,240,48,85,19,39,15,23,9,36,28,10,6,12,17,away,win,130.0,BOSTON CELTICS,86.0
BOSTON CELTICS,240,32,86,8,27,14,15,10,29,23,7,4,20,19,home,loss,86.0,CLEVELAND CAVALIERS,130.0
