team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHICAGO BULLS,240,35,84,10,25,9,13,9,26,22,7,2,18,24,away,loss,89.0,MINNESOTA TIMBERWOLVES,117.0
MINNESOTA TIMBERWOLVES,240,44,81,6,24,23,26,10,36,27,11,4,14,14,home,win,117.0,CHICAGO BULLS,89.0
SAN ANTONIO SPURS,240,33,91,6,29,18,22,21,25,17,11,1,11,16,away,loss,90.0,NEW YORK KNICKS,94.0
NEW YORK KNICKS,240,34,68,9,14,17,21,5,39,18,5,8,19,19,home,win,94.0,SAN ANTONIO SPURS,90.0
NEW ORLEANS PELICANS,240,34,82,13,31,18,21,6,30,23,10,2,17,23,away,loss,99.0,SACRAMENTO KINGS,105.0
SACRAMENTO KINGS,240,35,78,11,31,24,27,8,38,23,11,5,19,18,home,win,105.0,NEW ORLEANS PELICANS,99.0
DETROIT PISTONS,240,36,84,8,31,22,29,11,30,12,8,5,7,18,away,win,102.0,TORONTO RAPTORS,101.0
TORONTO RAPTORS,240,38,75,8,16,17,25,6,32,18,4,5,9,18,home,loss,101.0,DETROIT PISTONS,102.0
