team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
NEW ORLEANS PELICANS,240,38,90,11,32,17,25,9,41,16,12,4,16,16,2017-01-12,away,win,104.0,BROOKLYN NETS,95.0,0.296875,0.2558139534883721,50
BROOKLYN NETS,240,40,97,9,42,6,11,7,43,22,10,6,16,20,2017-01-12,home,loss,95.0,NEW ORLEANS PELICANS,104.0,0.291970802919708,0.17647058823529413,50
INDIANA PACERS,240,44,94,12,29,12,13,12,22,26,9,4,16,15,2017-01-12,away,loss,112.0,DENVER NUGGETS,140.0,0.3188405797101449,0.2926829268292683,34
DENVER NUGGETS,240,52,90,15,32,21,23,12,35,37,10,5,15,16,2017-01-12,home,win,140.0,INDIANA PACERS,112.0,0.36619718309859156,0.3191489361702128,47
DETROIT PISTONS,240,43,88,6,28,15,20,9,31,20,10,4,19,19,2017-01-12,away,loss,107.0,GOLDEN STATE WARRIORS,127.0,0.3282442748091603,0.17647058823529413,40
GOLDEN STATE WARRIORS,240,50,89,15,29,12,18,6,31,39,14,4,18,14,2017-01-12,home,win,127.0,DETROIT PISTONS,107.0,0.3597122302158273,0.3409090909090909,37
CHICAGO BULLS,240,35,89,3,18,16,21,14,29,20,5,4,12,12,2017-01-12,away,loss,89.0,NEW YORK KNICKS,104.0,0.28225806451612906,0.14285714285714285,43
NEW YORK KNICKS,240,44,92,7,23,9,11,17,31,21,3,7,12,17,2017-01-12,home,win,104.0,CHICAGO BULLS,89.0,0.3235294117647059,0.23333333333333334,48
DALLAS MAVERICKS,240,43,89,15,34,12,17,8,24,29,11,7,9,20,2017-01-12,away,win,113.0,PHOENIX SUNS,108.0,0.32575757575757575,0.30612244897959184,32
PHOENIX SUNS,240,38,78,10,18,22,27,13,34,15,2,4,19,23,2017-01-12,home,loss,108.0,DALLAS MAVERICKS,113.0,0.3275862068965517,0.35714285714285715,47
LOS ANGELES LAKERS,240,35,85,6,20,18,25,9,20,23,6,3,9,25,2017-01-12,away,loss,94.0,SAN ANTONIO SPURS,134.0,0.2916666666666667,0.23076923076923078,29
SAN ANTONIO SPURS,240,49,81,10,21,26,29,7,39,32,5,5,12,20,2017-01-12,home,win,134.0,LOS ANGELES LAKERS,94.0,0.3769230769230769,0.3225806451612903,46
