team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
PORTLAND TRAIL BLAZERS,240,28,81,6,18,12,17,12,28,19,8,5,12,14,2003-12-28,away,loss,74.0,CLEVELAND CAVALIERS,86.0,0.25688073394495414,0.25,40
CLEVELAND CAVALIERS,240,39,78,0,5,8,10,11,36,22,8,5,14,14,2003-12-28,home,win,86.0,PORTLAND TRAIL BLAZERS,74.0,0.3333333333333333,0.0,47
GOLDEN STATE WARRIORS,240,31,82,4,11,13,18,8,40,23,2,5,16,20,2003-12-28,away,loss,79.0,DENVER NUGGETS,103.0,0.2743362831858407,0.26666666666666666,48
DENVER NUGGETS,240,43,92,3,8,14,18,9,39,33,6,8,9,19,2003-12-28,home,win,103.0,GOLDEN STATE WARRIORS,79.0,0.31851851851851853,0.2727272727272727,48
TORONTO RAPTORS,240,36,78,5,12,17,25,9,24,16,6,7,10,22,2003-12-28,away,win,94.0,LOS ANGELES CLIPPERS,88.0,0.3157894736842105,0.29411764705882354,33
LOS ANGELES CLIPPERS,240,32,81,2,11,22,24,17,32,17,4,5,15,23,2003-12-28,home,loss,88.0,TORONTO RAPTORS,94.0,0.2831858407079646,0.15384615384615385,49
BOSTON CELTICS,240,30,72,4,15,18,25,11,24,17,12,0,23,30,2003-12-28,away,loss,82.0,LOS ANGELES LAKERS,105.0,0.29411764705882354,0.21052631578947367,35
LOS ANGELES LAKERS,240,37,86,8,23,23,38,23,32,30,13,3,20,22,2003-12-28,home,win,105.0,BOSTON CELTICS,82.0,0.3008130081300813,0.25806451612903225,55
PHILADELPHIA 76ERS,240,33,76,5,14,21,31,11,28,18,5,5,15,19,2003-12-28,away,loss,92.0,PHOENIX SUNS,100.0,0.30275229357798167,0.2631578947368421,39
PHOENIX SUNS,240,32,77,9,23,27,30,13,30,18,10,7,13,27,2003-12-28,home,win,100.0,PHILADELPHIA 76ERS,92.0,0.29357798165137616,0.28125,43
UTAH JAZZ,240,35,85,2,11,17,31,18,29,17,9,9,20,31,2003-12-28,away,loss,89.0,SACRAMENTO KINGS,98.0,0.2916666666666667,0.15384615384615385,47
SACRAMENTO KINGS,240,28,70,7,18,35,41,11,28,20,13,2,20,31,2003-12-28,home,win,98.0,UTAH JAZZ,89.0,0.2857142857142857,0.28,39
MILWAUKEE BUCKS,240,30,84,3,9,11,12,11,33,16,9,5,14,24,2003-12-28,away,loss,74.0,SAN ANTONIO SPURS,89.0,0.2631578947368421,0.25,44
SAN ANTONIO SPURS,240,33,77,4,12,19,35,17,38,17,10,11,17,15,2003-12-28,home,win,89.0,MILWAUKEE BUCKS,74.0,0.3,0.25,55
