team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHICAGO BULLS,240,43,88,4,15,8,13,9,30,27,4,5,15,30,away,loss,98.0,DALLAS MAVERICKS,124.0
DALLAS MAVERICKS,240,47,89,6,16,24,30,13,36,29,5,3,7,18,home,win,124.0,CHICAGO BULLS,98.0
PHOENIX SUNS,240,31,78,2,7,16,23,17,25,22,10,6,25,23,away,loss,80.0,DENVER NUGGETS,110.0
DENVER NUGGETS,240,38,89,6,12,28,33,22,28,27,15,10,15,20,home,win,110.0,PHOENIX SUNS,80.0
MINNESOTA TIMBERWOLVES,240,28,72,2,6,17,22,9,28,16,3,10,12,17,away,loss,75.0,INDIANA PACERS,98.0
INDIANA PACERS,240,42,86,7,13,7,9,13,36,29,8,7,9,23,home,win,98.0,MINNESOTA TIMBERWOLVES,75.0
NEW ORLEANS HORNETS,240,33,80,8,19,13,19,14,27,19,7,0,12,23,away,loss,87.0,MIAMI HEAT,91.0
MIAMI HEAT,240,34,69,6,16,17,20,6,33,17,5,2,14,20,home,win,91.0,NEW ORLEANS HORNETS,87.0
PHILADELPHIA 76ERS,240,36,86,5,15,14,20,16,25,24,10,4,17,24,away,loss,91.0,MILWAUKEE BUCKS,95.0
MILWAUKEE BUCKS,240,37,72,2,13,19,27,10,30,25,6,7,17,23,home,win,95.0,PHILADELPHIA 76ERS,91.0
WASHINGTON WIZARDS,240,30,70,6,10,15,17,7,21,17,15,2,15,19,away,win,81.0,PORTLAND TRAIL BLAZERS,80.0
PORTLAND TRAIL BLAZERS,240,34,77,1,7,11,16,18,29,24,8,2,20,17,home,loss,80.0,WASHINGTON WIZARDS,81.0
MEMPHIS GRIZZLIES,240,33,78,4,17,19,29,14,31,20,8,6,19,23,away,loss,89.0,SACRAMENTO KINGS,109.0
SACRAMENTO KINGS,240,41,83,8,18,19,24,9,33,24,6,5,14,22,home,win,109.0,MEMPHIS GRIZZLIES,89.0
NEW JERSEY NETS,240,38,81,3,10,14,19,13,32,24,10,3,9,19,away,win,93.0,SEATTLE SUPERSONICS,70.0
SEATTLE SUPERSONICS,240,23,68,10,26,14,20,11,28,18,7,7,15,19,home,loss,70.0,NEW JERSEY NETS,93.0
