team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
TORONTO RAPTORS,240,39,89,13,21,20,27,11,30,27,2,8,8,19,2003-12-12,away,loss,111.0,BOSTON CELTICS,114.0,0.3046875,0.38235294117647056,41
BOSTON CELTICS,240,46,94,7,14,15,22,14,37,22,6,2,9,25,2003-12-12,home,win,114.0,TORONTO RAPTORS,111.0,0.32857142857142857,0.3333333333333333,51
SEATTLE SUPERSONICS,240,35,70,10,17,13,20,10,23,21,11,5,12,22,2003-12-12,away,win,93.0,DETROIT PISTONS,72.0,0.3333333333333333,0.37037037037037035,33
DETROIT PISTONS,240,29,76,0,8,14,17,20,18,16,4,8,19,19,2003-12-12,home,loss,72.0,SEATTLE SUPERSONICS,93.0,0.2761904761904762,0.0,38
NEW ORLEANS HORNETS,240,36,82,12,22,12,16,15,34,22,6,4,12,21,2003-12-12,away,win,96.0,GOLDEN STATE WARRIORS,85.0,0.3050847457627119,0.35294117647058826,49
GOLDEN STATE WARRIORS,240,32,82,7,19,14,19,11,28,20,4,3,10,18,2003-12-12,home,loss,85.0,NEW ORLEANS HORNETS,96.0,0.2807017543859649,0.2692307692307692,39
ATLANTA HAWKS,240,38,80,3,10,13,16,10,30,27,5,4,12,24,2003-12-12,away,loss,92.0,INDIANA PACERS,103.0,0.3220338983050847,0.23076923076923078,40
INDIANA PACERS,240,36,71,7,14,24,31,4,31,26,6,3,9,21,2003-12-12,home,win,103.0,ATLANTA HAWKS,92.0,0.3364485981308411,0.3333333333333333,35
DALLAS MAVERICKS,240,41,93,4,16,24,27,15,33,25,4,1,10,30,2003-12-12,away,win,110.0,LOS ANGELES LAKERS,93.0,0.30597014925373134,0.2,48
LOS ANGELES LAKERS,240,34,80,3,17,22,39,12,30,21,5,6,14,23,2003-12-12,home,loss,93.0,DALLAS MAVERICKS,110.0,0.2982456140350877,0.15,42
MEMPHIS GRIZZLIES,240,32,74,7,16,17,19,8,30,20,12,11,18,23,2003-12-12,away,loss,88.0,MIAMI HEAT,91.0,0.3018867924528302,0.30434782608695654,38
MIAMI HEAT,240,34,81,6,17,17,23,14,30,18,9,3,15,21,2003-12-12,home,win,91.0,MEMPHIS GRIZZLIES,88.0,0.2956521739130435,0.2608695652173913,44
CHICAGO BULLS,240,36,76,5,7,18,25,10,29,25,8,6,19,23,2003-12-12,away,loss,95.0,MILWAUKEE BUCKS,109.0,0.32142857142857145,0.4166666666666667,39
MILWAUKEE BUCKS,240,44,87,3,8,18,26,9,29,35,13,9,12,22,2003-12-12,home,win,109.0,CHICAGO BULLS,95.0,0.33587786259541985,0.2727272727272727,38
NEW JERSEY NETS,240,38,82,5,15,18,27,11,37,29,10,6,12,20,2003-12-12,away,win,99.0,ORLANDO MAGIC,95.0,0.31666666666666665,0.25,48
ORLANDO MAGIC,240,35,85,8,13,17,19,10,31,23,5,3,12,22,2003-12-12,home,loss,95.0,NEW JERSEY NETS,99.0,0.2916666666666667,0.38095238095238093,41
DENVER NUGGETS,240,36,76,4,14,10,13,10,31,24,10,3,18,15,2003-12-12,away,win,86.0,PHILADELPHIA 76ERS,77.0,0.32142857142857145,0.2222222222222222,41
PHILADELPHIA 76ERS,240,32,82,4,14,9,11,13,28,22,10,5,17,18,2003-12-12,home,loss,77.0,DENVER NUGGETS,86.0,0.2807017543859649,0.2222222222222222,41
SACRAMENTO KINGS,240,37,84,4,18,22,25,13,25,19,6,3,4,18,2003-12-12,away,win,100.0,UTAH JAZZ,93.0,0.30578512396694213,0.18181818181818182,38
UTAH JAZZ,240,40,79,2,5,11,17,13,32,25,2,4,16,29,2003-12-12,home,loss,93.0,SACRAMENTO KINGS,100.0,0.33613445378151263,0.2857142857142857,45
MINNESOTA TIMBERWOLVES,240,47,84,1,7,15,19,9,32,23,8,4,11,19,2003-12-12,away,win,110.0,WASHINGTON WIZARDS,91.0,0.35877862595419846,0.125,41
WASHINGTON WIZARDS,240,35,85,7,20,14,18,14,26,23,8,3,14,16,2003-12-12,home,loss,91.0,MINNESOTA TIMBERWOLVES,110.0,0.2916666666666667,0.25925925925925924,40
