team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MILWAUKEE BUCKS,240,32,73,6,12,22,31,16,32,19,7,5,18,23,away,win,92.0,DETROIT PISTONS,88.0
DETROIT PISTONS,240,33,82,6,25,16,21,13,24,25,10,7,13,26,home,loss,88.0,MILWAUKEE BUCKS,92.0
NEW ORLEANS HORNETS,240,20,82,3,18,20,25,19,27,12,11,7,15,24,away,loss,63.0,MIAMI HEAT,93.0
MIAMI HEAT,240,32,71,2,15,27,30,12,39,19,7,5,15,23,home,win,93.0,NEW ORLEANS HORNETS,63.0
DENVER NUGGETS,240,31,76,2,8,17,23,9,29,14,9,1,13,21,away,loss,81.0,MINNESOTA TIMBERWOLVES,95.0
MINNESOTA TIMBERWOLVES,240,37,79,8,15,13,16,9,29,25,5,4,12,25,home,win,95.0,DENVER NUGGETS,81.0
