team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MINNESOTA TIMBERWOLVES,240,38,90,6,13,15,16,15,26,19,7,6,8,19,away,win,97.0,CLEVELAND CAVALIERS,83.0
CLEVELAND CAVALIERS,240,33,80,2,8,15,19,15,31,17,4,5,14,21,home,loss,83.0,MINNESOTA TIMBERWOLVES,97.0
WASHINGTON WIZARDS,240,29,71,4,14,25,38,13,31,17,6,4,19,21,away,loss,87.0,DENVER NUGGETS,108.0
DENVER NUGGETS,240,44,93,6,14,14,17,15,34,38,9,10,11,25,home,win,108.0,WASHINGTON WIZARDS,87.0
NEW YORK KNICKS,240,32,81,3,13,18,20,11,28,21,7,3,14,33,away,loss,85.0,DETROIT PISTONS,94.0
DETROIT PISTONS,240,31,78,3,11,29,37,12,35,17,7,14,14,23,home,win,94.0,NEW YORK KNICKS,85.0
MIAMI HEAT,240,33,81,6,20,19,25,11,25,20,9,4,13,25,away,loss,91.0,GOLDEN STATE WARRIORS,101.0
GOLDEN STATE WARRIORS,240,37,79,7,12,20,27,14,33,22,3,8,18,23,home,win,101.0,MIAMI HEAT,91.0
CHICAGO BULLS,240,40,93,5,12,9,15,14,31,22,6,2,13,30,away,loss,94.0,LOS ANGELES LAKERS,101.0
LOS ANGELES LAKERS,240,36,85,2,9,27,36,14,34,22,6,7,11,16,home,win,101.0,CHICAGO BULLS,94.0
INDIANA PACERS,240,29,74,3,14,15,22,12,31,12,3,6,10,20,away,win,76.0,NEW ORLEANS HORNETS,75.0
NEW ORLEANS HORNETS,240,29,79,8,22,9,15,15,32,17,5,2,12,23,home,loss,75.0,INDIANA PACERS,76.0
BOSTON CELTICS,240,29,75,6,19,21,27,9,26,16,10,6,14,24,away,loss,85.0,PHILADELPHIA 76ERS,87.0
PHILADELPHIA 76ERS,240,30,67,3,7,24,27,8,32,20,9,2,16,24,home,win,87.0,BOSTON CELTICS,85.0
HOUSTON ROCKETS,240,30,70,6,18,12,17,11,33,18,4,7,16,23,away,loss,78.0,PORTLAND TRAIL BLAZERS,85.0
PORTLAND TRAIL BLAZERS,240,28,82,6,16,23,28,17,27,20,9,1,9,17,home,win,85.0,HOUSTON ROCKETS,78.0
ORLANDO MAGIC,240,38,96,2,14,14,16,19,27,14,3,6,13,23,away,loss,92.0,SACRAMENTO KINGS,122.0
SACRAMENTO KINGS,240,46,87,8,18,22,27,11,35,35,7,2,9,19,home,win,122.0,ORLANDO MAGIC,92.0
ATLANTA HAWKS,240,27,80,1,8,20,26,12,29,11,9,6,20,16,away,loss,75.0,SAN ANTONIO SPURS,114.0
SAN ANTONIO SPURS,240,44,85,8,15,18,24,10,40,28,16,9,13,23,home,win,114.0,ATLANTA HAWKS,75.0
MEMPHIS GRIZZLIES,240,35,89,10,22,18,27,13,28,19,9,4,12,20,away,win,98.0,SEATTLE SUPERSONICS,97.0
SEATTLE SUPERSONICS,240,37,81,7,21,16,25,14,31,21,5,11,13,24,home,loss,97.0,MEMPHIS GRIZZLIES,98.0
MILWAUKEE BUCKS,240,31,69,4,13,24,29,10,21,19,7,3,18,29,away,loss,90.0,UTAH JAZZ,99.0
UTAH JAZZ,240,35,75,6,13,23,28,14,23,23,6,5,18,31,home,win,99.0,MILWAUKEE BUCKS,90.0
