team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
MIAMI HEAT,240,32,84,3,13,14,18,16,31,17,4,2,13,26,2004-05-06,away,loss,81.0,INDIANA PACERS,94.0,0.27586206896551724,0.1875,47
INDIANA PACERS,240,30,69,9,18,25,32,9,30,19,6,7,13,20,2004-05-06,home,win,94.0,MIAMI HEAT,81.0,0.30303030303030304,0.3333333333333333,39
