team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DENVER NUGGETS,240,41,91,7,24,13,18,18,28,25,8,4,17,23,away,loss,102.0,ATLANTA HAWKS,105.0
ATLANTA HAWKS,240,39,78,8,15,19,25,11,25,25,10,4,15,18,home,win,105.0,DENVER NUGGETS,102.0
NEW JERSEY NETS,240,30,73,5,16,24,29,7,34,20,8,8,19,21,away,loss,89.0,BOSTON CELTICS,97.0
BOSTON CELTICS,240,34,85,14,24,15,24,10,32,24,13,2,12,26,home,win,97.0,NEW JERSEY NETS,89.0
CLEVELAND CAVALIERS,240,32,74,2,7,18,26,10,31,12,13,2,17,22,away,loss,84.0,DETROIT PISTONS,85.0
DETROIT PISTONS,240,34,81,2,17,15,23,14,32,20,7,5,17,17,home,win,85.0,CLEVELAND CAVALIERS,84.0
WASHINGTON WIZARDS,240,33,78,0,5,9,13,10,23,15,3,7,11,25,away,loss,75.0,LOS ANGELES CLIPPERS,96.0
LOS ANGELES CLIPPERS,240,37,82,2,8,20,25,15,33,15,6,9,10,14,home,win,96.0,WASHINGTON WIZARDS,75.0
HOUSTON ROCKETS,240,37,82,6,22,16,23,6,27,20,6,8,12,19,away,win,96.0,MINNESOTA TIMBERWOLVES,95.0
MINNESOTA TIMBERWOLVES,240,34,73,4,9,23,29,7,34,21,3,1,17,22,home,loss,95.0,HOUSTON ROCKETS,96.0
PHOENIX SUNS,265,49,100,4,9,12,19,15,34,27,10,2,16,23,away,loss,114.0,ORLANDO MAGIC,119.0
ORLANDO MAGIC,265,49,96,9,20,12,18,10,34,31,13,8,17,12,home,win,119.0,PHOENIX SUNS,114.0
SACRAMENTO KINGS,240,35,84,1,9,21,25,14,35,24,11,9,11,14,away,win,92.0,PHILADELPHIA 76ERS,88.0
PHILADELPHIA 76ERS,240,35,82,4,11,14,19,10,35,21,11,5,13,21,home,loss,88.0,SACRAMENTO KINGS,92.0
