team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
WASHINGTON WIZARDS,240,38,85,1,6,8,11,14,32,17,2,8,10,22,2001-12-06,away,win,85.0,HOUSTON ROCKETS,82.0,0.3089430894308943,0.14285714285714285,46
HOUSTON ROCKETS,240,30,85,2,17,20,28,18,31,18,8,2,8,15,2001-12-06,home,loss,82.0,WASHINGTON WIZARDS,85.0,0.2608695652173913,0.10526315789473684,49
MINNESOTA TIMBERWOLVES,240,45,96,2,6,13,16,18,36,28,10,4,14,18,2001-12-06,away,win,105.0,MEMPHIS GRIZZLIES,80.0,0.3191489361702128,0.25,54
MEMPHIS GRIZZLIES,240,30,82,3,17,17,21,12,30,17,8,7,18,13,2001-12-06,home,loss,80.0,MINNESOTA TIMBERWOLVES,105.0,0.26785714285714285,0.15,42
TORONTO RAPTORS,240,40,82,6,13,3,6,10,29,24,11,7,16,14,2001-12-06,away,loss,89.0,MILWAUKEE BUCKS,95.0,0.32786885245901637,0.3157894736842105,39
MILWAUKEE BUCKS,240,36,75,8,18,15,20,11,34,22,10,0,18,14,2001-12-06,home,win,95.0,TORONTO RAPTORS,89.0,0.32432432432432434,0.3076923076923077,45
CHARLOTTE HORNETS,240,38,84,4,11,15,26,18,22,23,7,6,12,18,2001-12-06,away,win,95.0,PORTLAND TRAIL BLAZERS,89.0,0.3114754098360656,0.26666666666666666,40
PORTLAND TRAIL BLAZERS,240,33,76,3,10,20,25,14,31,21,6,6,19,21,2001-12-06,home,loss,89.0,CHARLOTTE HORNETS,95.0,0.30275229357798167,0.23076923076923078,45
