team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
SAN ANTONIO SPURS,240,43,80,14,20,20,32,11,31,26,4,7,19,17,2001-12-05,away,win,120.0,ATLANTA HAWKS,112.0,0.34959349593495936,0.4117647058823529,42
ATLANTA HAWKS,240,43,91,4,15,22,26,10,27,16,15,1,12,28,2001-12-05,home,loss,112.0,SAN ANTONIO SPURS,120.0,0.3208955223880597,0.21052631578947367,37
DENVER NUGGETS,240,36,84,3,16,5,9,11,33,20,9,4,17,20,2001-12-05,away,loss,80.0,BOSTON CELTICS,95.0,0.3,0.15789473684210525,44
BOSTON CELTICS,240,37,87,6,21,15,20,14,34,22,11,4,11,13,2001-12-05,home,win,95.0,DENVER NUGGETS,80.0,0.29838709677419356,0.2222222222222222,48
SEATTLE SUPERSONICS,240,36,75,8,19,11,20,12,36,19,7,3,20,30,2001-12-05,away,loss,91.0,DETROIT PISTONS,95.0,0.32432432432432434,0.2962962962962963,48
DETROIT PISTONS,240,32,76,9,32,22,29,9,27,18,9,5,12,19,2001-12-05,home,win,95.0,SEATTLE SUPERSONICS,91.0,0.2962962962962963,0.21951219512195122,36
PHILADELPHIA 76ERS,240,36,74,3,12,12,17,10,23,27,7,6,20,27,2001-12-05,away,loss,87.0,GOLDEN STATE WARRIORS,93.0,0.32727272727272727,0.2,33
GOLDEN STATE WARRIORS,240,31,79,4,8,27,36,23,26,16,12,10,16,18,2001-12-05,home,win,93.0,PHILADELPHIA 76ERS,87.0,0.2818181818181818,0.3333333333333333,49
DALLAS MAVERICKS,240,35,79,5,17,19,23,8,33,24,8,5,14,32,2001-12-05,away,loss,94.0,LOS ANGELES LAKERS,98.0,0.30701754385964913,0.22727272727272727,41
LOS ANGELES LAKERS,240,37,87,3,18,21,39,17,35,23,7,6,12,22,2001-12-05,home,win,98.0,DALLAS MAVERICKS,94.0,0.29838709677419356,0.14285714285714285,52
PHOENIX SUNS,240,36,88,4,17,11,18,12,30,16,5,6,13,16,2001-12-05,away,loss,87.0,NEW JERSEY NETS,106.0,0.2903225806451613,0.19047619047619047,42
NEW JERSEY NETS,240,40,91,10,21,16,21,17,38,31,7,11,16,17,2001-12-05,home,win,106.0,PHOENIX SUNS,87.0,0.3053435114503817,0.3225806451612903,55
CHICAGO BULLS,240,31,72,1,8,11,18,14,28,18,7,1,25,14,2001-12-05,away,loss,74.0,ORLANDO MAGIC,102.0,0.30097087378640774,0.1111111111111111,42
ORLANDO MAGIC,240,40,80,8,21,14,19,11,24,25,16,6,13,14,2001-12-05,home,win,102.0,CHICAGO BULLS,74.0,0.3333333333333333,0.27586206896551724,35
