team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
DALLAS MAVERICKS,240,35,90,6,23,15,22,13,30,13,4,5,14,25,2002-05-04,away,loss,91.0,SACRAMENTO KINGS,108.0,0.28,0.20689655172413793,43
SACRAMENTO KINGS,240,43,93,4,18,18,25,17,36,27,9,5,13,22,2002-05-04,home,win,108.0,DALLAS MAVERICKS,91.0,0.3161764705882353,0.18181818181818182,53
