slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
ewingpa01,Patrick Ewing,SEATTLE SUPERSONICS,HOME,PORTLAND TRAIL BLAZERS,WIN,1440,3,6,0,0,2,2,0,6,0,1,0,1,2,6.0
pippesc01,Scottie Pippen,PORTLAND TRAIL BLAZERS,AWAY,SEATTLE SUPERSONICS,LOSS,2307,3,9,1,3,2,2,0,8,4,1,0,3,3,5.9
postela01,Lavor Postell,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,1067,1,2,0,0,5,6,0,3,1,0,0,1,1,5.8
bowdlca01,Cal Bowdler,ATLANTA HAWKS,HOME,VANCOUVER GRIZZLIES,WIN,250,2,2,0,0,1,1,1,2,0,0,0,0,0,5.7
eisleho01,Howard Eisley,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,WIN,1323,3,7,1,1,0,0,0,0,5,2,0,2,3,5.6
mihmch01,Chris Mihm,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,1842,5,11,0,0,2,3,2,5,0,0,2,3,4,5.6
jacksbo01,Bobby Jackson,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,1698,4,8,2,3,0,0,1,2,1,1,0,2,4,5.4
murratr01,Tracy Murray,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,LOSS,720,2,6,2,4,0,0,1,2,1,0,1,0,0,5.3
vanhoke01,Keith Van Horn,NEW JERSEY NETS,AWAY,DALLAS MAVERICKS,LOSS,1510,3,6,0,2,3,3,0,6,1,2,0,3,6,5.1
bakervi01,Vin Baker,SEATTLE SUPERSONICS,HOME,PORTLAND TRAIL BLAZERS,WIN,1908,2,7,0,0,2,3,1,2,1,2,4,2,4,4.7
davisan01,Antonio Davis,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,LOSS,1698,3,12,0,0,6,6,2,5,0,0,0,2,3,4.5
harvedo01,Donnell Harvey,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,WIN,303,1,1,0,0,1,2,2,2,0,1,0,0,2,4.5
stricro02,Rod Strickland,PORTLAND TRAIL BLAZERS,AWAY,SEATTLE SUPERSONICS,LOSS,837,0,2,0,0,4,4,1,2,2,0,0,1,0,4.3
masseto01,Tony Massenburg,VANCOUVER GRIZZLIES,AWAY,ATLANTA HAWKS,LOSS,1705,1,6,0,0,3,4,2,5,0,1,1,0,3,4.2
outlabo01,Bo Outlaw,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,1255,2,5,0,0,0,0,2,5,4,2,0,3,5,4.0
potapvi01,Vitaly Potapenko,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,LOSS,1346,3,6,0,0,0,0,0,3,0,2,1,1,4,4.0
willija02,Jason Williams,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,1482,1,4,1,3,1,2,0,2,5,2,0,3,1,3.9
davisda01,Dale Davis,PORTLAND TRAIL BLAZERS,AWAY,SEATTLE SUPERSONICS,LOSS,1081,1,2,0,0,0,0,1,3,1,1,1,1,1,3.6
dickemi01,Michael Dickerson,VANCOUVER GRIZZLIES,AWAY,ATLANTA HAWKS,LOSS,1966,5,13,0,4,1,1,0,0,4,1,0,3,3,3.5
martike01,Kenyon Martin,NEW JERSEY NETS,AWAY,DALLAS MAVERICKS,LOSS,1130,2,6,0,0,3,4,1,4,1,0,0,2,1,3.4
palacmi01,Milt Palacio,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,LOSS,1476,4,7,0,0,0,2,0,2,3,0,0,2,3,3.4
sabonar01,Arvydas Sabonis,PORTLAND TRAIL BLAZERS,AWAY,SEATTLE SUPERSONICS,LOSS,998,2,6,0,0,2,2,0,2,1,1,3,2,4,3.4
samakso01,Soumaila Samake,NEW JERSEY NETS,AWAY,DALLAS MAVERICKS,LOSS,221,2,2,0,0,0,0,0,0,0,0,0,0,0,3.4
najered01,Eduardo Nájera,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,WIN,647,1,3,0,0,0,0,1,2,3,0,0,0,2,2.9
popema01,Mark Pope,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,983,1,1,0,0,0,0,1,5,1,0,0,1,2,2.8
armstda01,Darrell Armstrong,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,2423,5,18,1,7,2,2,1,5,7,1,0,7,2,2.7
georgde01,Devean George,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,WIN,417,2,2,1,1,0,0,0,0,0,0,1,0,6,2.7
malonma01,Matt Maloney,ATLANTA HAWKS,HOME,VANCOUVER GRIZZLIES,WIN,996,2,5,0,1,0,0,1,0,1,0,0,0,0,2.7
horryro01,Robert Horry,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,WIN,1264,1,3,0,2,2,2,0,4,1,0,0,0,4,2.6
pollasc01,Scot Pollard,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,512,0,1,0,0,3,4,0,2,0,1,1,0,4,2.6
johnser02,Ervin Johnson,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,1007,0,0,0,0,0,0,0,4,1,1,1,0,4,2.0
jacksji01,Jim Jackson,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,1009,3,8,0,0,0,0,0,2,1,1,0,2,0,1.9
madsema01,Mark Madsen,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,WIN,779,1,3,0,0,2,2,1,1,0,0,0,1,1,1.9
masonde01,Desmond Mason,SEATTLE SUPERSONICS,HOME,PORTLAND TRAIL BLAZERS,WIN,603,1,2,0,1,1,1,0,0,0,0,1,0,2,1.9
traylro01,Robert Traylor,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,525,0,1,0,0,2,2,0,2,0,0,1,0,2,1.8
alexaco01,Cory Alexander,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,785,2,3,1,1,0,0,0,0,1,1,0,3,2,1.6
hunteli01,Lindsey Hunter,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,691,0,3,0,1,0,0,0,0,3,2,0,0,1,1.6
williwa02,Walt Williams,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,650,2,4,1,2,0,0,0,2,0,0,0,1,3,1.4
