slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
iversal01,Allen Iverson,PHILADELPHIA 76ERS,AWAY,SACRAMENTO KINGS,WIN,3104,18,36,2,6,8,8,2,7,9,3,0,3,2,37.0
cartevi01,Vince Carter,TORONTO RAPTORS,AWAY,PHOENIX SUNS,LOSS,2636,11,26,2,7,22,27,4,2,6,1,1,3,5,34.5
jamisan01,Antawn Jamison,GOLDEN STATE WARRIORS,AWAY,VANCOUVER GRIZZLIES,WIN,2634,12,24,0,0,11,14,6,12,3,4,0,3,3,31.5
onealsh01,Shaquille O'Neal,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,WIN,2614,11,16,0,0,7,18,6,9,5,1,4,2,6,27.6
mcdyean01,Antonio McDyess,DENVER NUGGETS,HOME,MILWAUKEE BUCKS,WIN,2505,10,20,0,0,15,19,4,10,5,0,0,5,3,26.5
francst01,Steve Francis,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,2415,5,9,2,5,10,10,0,11,8,0,1,0,4,25.7
allenra02,Ray Allen,MILWAUKEE BUCKS,AWAY,DENVER NUGGETS,LOSS,2573,7,18,3,9,9,9,3,5,7,2,0,0,3,25.5
lafrera01,Raef LaFrentz,DENVER NUGGETS,HOME,MILWAUKEE BUCKS,WIN,2137,9,12,3,5,5,7,1,9,3,0,2,0,5,25.3
stojape01,Peja Stojaković,SACRAMENTO KINGS,HOME,PHILADELPHIA 76ERS,LOSS,2837,9,20,6,11,9,10,2,5,2,0,0,0,3,25.3
hunteli01,Lindsey Hunter,MILWAUKEE BUCKS,AWAY,DENVER NUGGETS,LOSS,1988,6,14,5,7,7,8,2,2,9,1,0,1,1,24.1
abdursh01,Shareef Abdur-Rahim,VANCOUVER GRIZZLIES,HOME,GOLDEN STATE WARRIORS,LOSS,2703,14,24,0,1,3,4,3,8,4,0,2,3,3,23.9
brownpj01,P.J. Brown,CHARLOTTE HORNETS,AWAY,SEATTLE SUPERSONICS,LOSS,2343,6,6,0,0,6,7,6,11,0,1,3,1,4,23.8
finlemi01,Michael Finley,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,2658,10,22,3,5,9,10,3,6,2,2,0,3,3,23.3
kiddja01,Jason Kidd,PHOENIX SUNS,HOME,TORONTO RAPTORS,WIN,2479,7,15,0,2,13,15,1,5,9,0,0,2,5,23.0
stackje01,Jerry Stackhouse,DETROIT PISTONS,HOME,MIAMI HEAT,LOSS,2887,12,26,0,2,11,11,1,5,7,1,1,7,3,22.2
sprewla01,Latrell Sprewell,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2500,12,23,1,1,2,5,2,6,3,2,2,1,1,21.8
piatker01,Eric Piatkowski,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,LOSS,2212,9,13,4,5,5,6,0,2,1,0,0,0,2,21.6
webbech01,Chris Webber,SACRAMENTO KINGS,HOME,PHILADELPHIA 76ERS,LOSS,2932,13,29,0,0,3,6,4,6,4,1,3,2,1,20.8
mckieaa01,Aaron McKie,PHILADELPHIA 76ERS,AWAY,SACRAMENTO KINGS,WIN,2855,8,16,2,5,1,1,2,8,14,0,1,4,2,20.5
nashst01,Steve Nash,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,2351,8,16,2,5,8,11,1,2,6,2,0,4,3,19.1
barrybr01,Brent Barry,SEATTLE SUPERSONICS,HOME,CHARLOTTE HORNETS,WIN,2474,7,10,3,5,1,2,0,7,10,0,0,2,5,18.5
foxri01,Rick Fox,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,WIN,2371,6,14,3,9,1,4,3,4,9,1,2,1,1,18.0
brandte01,Terrell Brandon,MINNESOTA TIMBERWOLVES,HOME,NEW YORK KNICKS,LOSS,2432,5,14,0,0,3,4,1,4,10,5,0,0,2,17.9
houstal01,Allan Houston,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2335,10,19,3,5,4,4,0,2,2,1,0,2,2,17.9
paytoga01,Gary Payton,SEATTLE SUPERSONICS,HOME,CHARLOTTE HORNETS,WIN,2596,9,20,3,3,0,0,0,3,10,1,0,1,2,17.7
walkean02,Antoine Walker,BOSTON CELTICS,HOME,ORLANDO MAGIC,LOSS,2846,10,24,0,5,6,8,2,10,2,3,1,3,3,17.7
jonesed02,Eddie Jones,MIAMI HEAT,AWAY,DETROIT PISTONS,WIN,2541,10,20,1,5,2,3,0,2,5,2,2,1,4,17.5
vanexni01,Nick Van Exel,DENVER NUGGETS,HOME,MILWAUKEE BUCKS,WIN,2429,2,7,0,2,14,15,0,4,8,0,0,2,3,17.1
dickemi01,Michael Dickerson,VANCOUVER GRIZZLIES,HOME,GOLDEN STATE WARRIORS,LOSS,2850,8,14,0,0,7,10,1,3,5,1,0,3,5,16.3
mcgratr01,Tracy McGrady,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,2218,9,19,0,1,1,1,1,6,7,1,2,2,2,16.3
wesleda01,David Wesley,CHARLOTTE HORNETS,AWAY,SEATTLE SUPERSONICS,LOSS,2146,9,16,3,6,3,5,0,1,4,1,0,3,1,16.3
davisba01,Baron Davis,CHARLOTTE HORNETS,AWAY,SEATTLE SUPERSONICS,LOSS,2415,5,13,0,2,7,10,1,2,6,3,0,1,1,15.8
atkinch01,Chucky Atkins,DETROIT PISTONS,HOME,MIAMI HEAT,LOSS,2208,9,17,7,11,1,2,0,2,2,1,0,3,4,15.7
andersh01,Shandon Anderson,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,2330,6,16,0,1,3,6,3,6,7,5,0,2,3,15.6
hardati01,Tim Hardaway,MIAMI HEAT,AWAY,DETROIT PISTONS,WIN,2453,7,18,1,8,4,7,0,3,11,1,0,2,0,15.6
