team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,34,83,1,12,9,12,10,40,18,11,6,15,20
BOSTON CELTICS,240,24,82,9,34,11,13,16,32,15,6,3,17,16
PHOENIX SUNS,240,33,81,2,16,14,17,11,29,22,11,6,17,21
CHICAGO BULLS,240,33,88,6,22,15,20,18,31,25,12,1,16,19
SAN ANTONIO SPURS,240,40,76,2,5,16,29,15,38,25,7,5,18,21
DENVER NUGGETS,240,28,76,1,8,17,24,11,26,18,10,5,15,21
GOLDEN STATE WARRIORS,240,25,75,6,19,9,11,5,25,19,7,4,11,18
HOUSTON ROCKETS,240,35,75,6,14,7,8,8,42,23,5,3,18,16
INDIANA PACERS,240,28,69,8,21,23,28,8,41,14,6,5,13,21
MIAMI HEAT,240,25,75,2,11,13,20,11,34,16,5,4,12,20
MILWAUKEE BUCKS,240,32,82,6,22,18,26,13,33,24,10,3,15,20
PHILADELPHIA 76ERS,240,30,83,4,17,12,19,15,33,15,8,2,22,24
PORTLAND TRAIL BLAZERS,265,45,91,6,16,12,18,19,30,23,9,1,14,17
SEATTLE SUPERSONICS,265,45,84,15,33,14,17,7,26,29,7,8,12,19
DALLAS MAVERICKS,240,33,82,7,20,21,24,9,24,20,11,12,13,24
UTAH JAZZ,240,39,83,5,11,25,33,17,35,24,8,7,17,20
