team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,38,87,8,24,19,25,18,29,21,10,5,15,22
BOSTON CELTICS,240,34,67,6,15,16,25,5,29,17,4,8,17,21
PHOENIX SUNS,240,30,76,4,11,17,19,7,27,20,4,9,13,19
DETROIT PISTONS,240,35,90,5,21,18,19,21,33,26,6,6,12,15
UTAH JAZZ,240,35,76,5,15,13,15,13,26,20,7,9,18,19
MEMPHIS GRIZZLIES,240,39,87,6,15,16,19,18,25,26,12,6,13,21
ORLANDO MAGIC,240,34,79,9,20,24,32,9,28,15,7,3,13,22
MIAMI HEAT,240,41,88,11,22,19,24,15,27,29,7,2,9,26
DALLAS MAVERICKS,240,39,82,9,21,14,16,13,31,24,3,3,11,19
MILWAUKEE BUCKS,240,42,91,6,20,19,26,18,31,28,6,7,5,18
ATLANTA HAWKS,240,29,78,3,8,14,19,7,24,22,3,4,11,18
MINNESOTA TIMBERWOLVES,240,38,93,4,13,13,14,18,38,32,8,7,13,18
CLEVELAND CAVALIERS,240,34,82,3,13,11,14,8,31,26,8,4,15,18
NEW JERSEY NETS,240,38,79,7,16,14,20,8,33,31,10,5,14,15
CHICAGO BULLS,240,39,80,5,13,21,29,15,29,20,7,0,17,21
NEW YORK KNICKS,240,39,83,5,15,16,20,12,26,25,10,8,14,24
DENVER NUGGETS,240,39,76,2,4,26,29,8,28,26,10,10,8,20
PORTLAND TRAIL BLAZERS,240,36,74,8,13,16,28,9,27,27,4,6,14,22
LOS ANGELES LAKERS,240,42,87,7,18,18,23,10,27,19,10,3,14,21
SEATTLE SUPERSONICS,240,41,86,12,33,17,20,11,29,25,8,1,16,25
NEW ORLEANS HORNETS,240,35,83,3,12,13,19,15,36,13,5,1,16,19
TORONTO RAPTORS,240,26,69,3,17,19,22,4,28,17,7,9,14,20
GOLDEN STATE WARRIORS,240,31,77,8,21,9,11,9,27,20,9,7,20,17
WASHINGTON WIZARDS,240,41,92,4,10,11,18,24,34,30,14,6,18,15
