team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,48,91,12,28,24,30,14,26,32,8,2,18,26
BOSTON CELTICS,240,46,89,10,24,35,41,15,27,26,13,5,13,27
SACRAMENTO KINGS,240,36,91,8,19,11,12,15,31,23,10,9,12,17
GOLDEN STATE WARRIORS,240,39,90,8,20,11,17,20,37,23,7,8,15,13
DALLAS MAVERICKS,240,31,76,7,18,23,34,5,35,22,13,9,7,17
HOUSTON ROCKETS,240,36,79,9,21,8,15,9,41,24,6,3,19,24
CHICAGO BULLS,240,37,88,10,28,12,18,11,30,20,7,6,8,26
INDIANA PACERS,240,34,81,6,19,27,34,16,42,24,4,8,10,20
SEATTLE SUPERSONICS,240,45,83,9,24,19,19,7,27,32,12,0,13,22
LOS ANGELES CLIPPERS,240,30,71,3,14,24,33,10,27,17,5,3,20,18
MINNESOTA TIMBERWOLVES,240,39,72,7,12,22,26,10,32,23,8,6,14,24
MEMPHIS GRIZZLIES,240,32,78,2,9,24,29,10,18,20,12,4,10,21
NEW JERSEY NETS,240,30,83,5,17,19,27,18,24,19,16,2,19,23
MIAMI HEAT,240,35,70,5,15,21,28,9,29,23,11,5,20,19
TORONTO RAPTORS,240,34,74,10,18,11,11,8,33,18,3,5,14,20
MILWAUKEE BUCKS,240,33,86,2,11,19,26,17,31,23,4,2,7,14
CLEVELAND CAVALIERS,240,39,80,4,11,18,20,12,28,22,12,7,13,12
NEW YORK KNICKS,240,38,79,4,10,10,14,12,30,13,7,2,16,16
PHILADELPHIA 76ERS,240,38,79,2,14,11,21,8,24,23,6,7,9,20
ORLANDO MAGIC,240,35,78,3,11,22,27,12,33,16,9,4,13,16
LOS ANGELES LAKERS,290,41,103,7,24,16,27,21,30,27,12,5,11,20
PORTLAND TRAIL BLAZERS,290,44,91,4,11,12,18,14,41,28,6,5,19,24
DENVER NUGGETS,240,27,83,2,9,11,18,14,33,11,7,1,17,34
SAN ANTONIO SPURS,240,28,66,1,10,36,53,13,45,15,12,9,18,23
PHOENIX SUNS,240,34,71,7,16,14,23,11,28,18,9,8,20,29
UTAH JAZZ,240,32,80,4,15,16,27,16,27,20,9,8,18,23
NEW ORLEANS HORNETS,240,37,82,8,22,12,20,16,32,24,9,3,13,20
WASHINGTON WIZARDS,240,27,72,4,19,20,28,9,30,13,8,2,14,18
