team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,240,23,76,6,12,21,25,13,37,14,6,10,18,17
CHICAGO BULLS,240,29,89,4,6,13,19,19,39,15,10,6,12,23
PHILADELPHIA 76ERS,240,34,75,1,3,16,20,10,31,27,6,4,21,25
DENVER NUGGETS,240,40,82,4,13,22,31,14,31,29,14,11,11,17
WASHINGTON WIZARDS,240,29,71,6,13,17,21,12,22,16,7,6,23,16
HOUSTON ROCKETS,240,44,81,8,17,11,14,13,29,34,9,7,17,16
NEW ORLEANS HORNETS,240,37,83,3,14,12,17,20,36,19,10,6,17,28
INDIANA PACERS,240,24,72,4,22,23,31,12,26,16,10,3,17,18
PORTLAND TRAIL BLAZERS,240,34,78,6,15,12,15,8,26,21,10,2,10,20
LOS ANGELES LAKERS,240,39,79,3,9,8,16,13,35,24,8,3,16,15
DALLAS MAVERICKS,240,39,96,2,11,12,17,21,30,21,6,10,15,24
MEMPHIS GRIZZLIES,240,38,84,7,19,26,34,15,34,25,9,8,13,21
UTAH JAZZ,240,33,83,5,13,14,18,14,22,23,6,2,11,29
MIAMI HEAT,240,29,65,7,23,32,38,2,33,17,8,4,10,17
ORLANDO MAGIC,240,40,89,6,18,18,27,10,27,25,8,2,13,23
MILWAUKEE BUCKS,240,47,84,9,17,24,31,8,35,32,10,8,13,18
PHOENIX SUNS,240,33,86,6,16,23,26,12,23,20,11,3,15,26
MINNESOTA TIMBERWOLVES,240,38,77,3,8,31,33,12,32,26,11,5,14,22
DETROIT PISTONS,240,33,92,6,13,16,19,18,27,14,11,5,10,21
NEW YORK KNICKS,240,36,83,3,10,17,17,17,32,21,5,6,17,18
BOSTON CELTICS,240,38,86,5,15,30,37,8,26,15,13,1,7,23
SACRAMENTO KINGS,240,47,84,16,30,17,28,10,34,37,2,4,17,28
