team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
ATLANTA HAWKS,240,30,70,5,11,18,25,8,21,17,9,6,19,23,2007-11-09,away,loss,83.0,BOSTON CELTICS,106.0,0.3,0.3125,29
BOSTON CELTICS,240,41,68,6,10,18,25,8,31,30,8,6,18,20,2007-11-09,home,win,106.0,ATLANTA HAWKS,83.0,0.3761467889908257,0.375,39
INDIANA PACERS,240,34,80,6,20,13,20,10,29,17,6,4,15,28,2007-11-09,away,loss,87.0,CHARLOTTE BOBCATS,96.0,0.2982456140350877,0.23076923076923078,39
CHARLOTTE BOBCATS,240,32,71,5,14,27,44,14,38,19,9,4,16,22,2007-11-09,home,win,96.0,INDIANA PACERS,87.0,0.3106796116504854,0.2631578947368421,52
LOS ANGELES CLIPPERS,240,26,74,3,13,24,28,7,26,12,2,3,12,19,2007-11-09,away,loss,79.0,DETROIT PISTONS,103.0,0.26,0.1875,33
DETROIT PISTONS,240,42,87,7,17,12,18,13,40,27,3,5,12,19,2007-11-09,home,win,103.0,LOS ANGELES CLIPPERS,79.0,0.32558139534883723,0.2916666666666667,53
MILWAUKEE BUCKS,240,32,84,4,18,20,24,11,31,16,6,3,11,21,2007-11-09,away,loss,88.0,HOUSTON ROCKETS,104.0,0.27586206896551724,0.18181818181818182,42
HOUSTON ROCKETS,240,36,83,8,26,24,26,14,36,24,7,9,11,19,2007-11-09,home,win,104.0,MILWAUKEE BUCKS,88.0,0.3025210084033613,0.23529411764705882,50
MINNESOTA TIMBERWOLVES,240,37,95,8,21,11,14,18,26,19,10,5,15,30,2007-11-09,away,loss,93.0,LOS ANGELES LAKERS,107.0,0.2803030303030303,0.27586206896551724,44
LOS ANGELES LAKERS,240,36,76,5,18,30,41,16,35,28,10,7,18,18,2007-11-09,home,win,107.0,MINNESOTA TIMBERWOLVES,93.0,0.32142857142857145,0.21739130434782608,51
PHOENIX SUNS,240,39,89,15,33,13,15,11,32,22,12,5,12,17,2007-11-09,away,win,106.0,MIAMI HEAT,101.0,0.3046875,0.3125,43
MIAMI HEAT,240,43,88,4,15,11,14,13,35,20,9,7,15,16,2007-11-09,home,loss,101.0,PHOENIX SUNS,106.0,0.3282442748091603,0.21052631578947367,48
SAN ANTONIO SPURS,240,40,77,4,15,13,18,7,35,19,6,6,10,17,2007-11-09,away,win,97.0,NEW ORLEANS HORNETS,85.0,0.3418803418803419,0.21052631578947367,42
NEW ORLEANS HORNETS,240,35,81,4,15,11,17,9,28,18,8,3,9,15,2007-11-09,home,loss,85.0,SAN ANTONIO SPURS,97.0,0.3017241379310345,0.21052631578947367,37
ORLANDO MAGIC,240,40,85,9,29,23,28,9,31,24,10,5,15,23,2007-11-09,away,win,112.0,NEW YORK KNICKS,102.0,0.32,0.23684210526315788,40
NEW YORK KNICKS,240,35,79,7,19,25,33,8,35,22,11,1,20,28,2007-11-09,home,loss,102.0,ORLANDO MAGIC,112.0,0.30701754385964913,0.2692307692307692,43
TORONTO RAPTORS,240,34,74,9,18,28,37,13,32,25,7,2,15,20,2007-11-09,away,win,105.0,PHILADELPHIA 76ERS,103.0,0.3148148148148148,0.3333333333333333,45
PHILADELPHIA 76ERS,240,40,88,7,21,16,23,13,27,22,7,4,11,23,2007-11-09,home,loss,103.0,TORONTO RAPTORS,105.0,0.3125,0.25,40
MEMPHIS GRIZZLIES,240,37,89,7,21,17,24,15,29,19,4,3,12,27,2007-11-09,away,loss,98.0,PORTLAND TRAIL BLAZERS,110.0,0.29365079365079366,0.25,44
PORTLAND TRAIL BLAZERS,240,42,82,6,13,20,24,8,35,24,8,9,13,25,2007-11-09,home,win,110.0,MEMPHIS GRIZZLIES,98.0,0.3387096774193548,0.3157894736842105,43
CLEVELAND CAVALIERS,240,35,92,7,25,16,22,18,31,14,9,3,11,25,2007-11-09,away,win,93.0,SACRAMENTO KINGS,91.0,0.2755905511811024,0.21875,49
SACRAMENTO KINGS,240,28,70,2,12,33,35,7,34,7,7,4,16,19,2007-11-09,home,loss,91.0,CLEVELAND CAVALIERS,93.0,0.2857142857142857,0.14285714285714285,41
UTAH JAZZ,240,42,86,1,8,18,27,13,31,32,11,8,18,20,2007-11-09,away,win,103.0,SEATTLE SUPERSONICS,101.0,0.328125,0.1111111111111111,44
SEATTLE SUPERSONICS,240,40,85,2,13,19,29,12,26,19,9,6,17,23,2007-11-09,home,loss,101.0,UTAH JAZZ,103.0,0.32,0.13333333333333333,38
DENVER NUGGETS,240,45,88,12,25,16,19,13,30,32,15,0,19,25,2007-11-09,away,win,118.0,WASHINGTON WIZARDS,92.0,0.3383458646616541,0.32432432432432434,43
WASHINGTON WIZARDS,240,31,81,7,20,23,31,14,30,19,9,7,24,17,2007-11-09,home,loss,92.0,DENVER NUGGETS,118.0,0.2767857142857143,0.25925925925925924,44
