team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
BOSTON CELTICS,240,27,70,3,14,20,26,6,32,16,3,4,8,17,2008-05-12,away,loss,77.0,CLEVELAND CAVALIERS,88.0,0.27835051546391754,0.17647058823529413,38
CLEVELAND CAVALIERS,240,35,77,6,17,12,18,8,34,24,5,2,7,17,2008-05-12,home,win,88.0,BOSTON CELTICS,77.0,0.3125,0.2608695652173913,42
