team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHICAGO BULLS,240,27,76,4,11,24,36,14,26,15,9,3,21,30,away,loss,82.0,BOSTON CELTICS,107.0
BOSTON CELTICS,240,31,70,12,26,33,42,8,38,25,12,4,22,26,home,win,107.0,CHICAGO BULLS,82.0
NEW YORK KNICKS,240,36,88,8,22,15,28,22,28,16,8,1,17,22,away,loss,95.0,CHARLOTTE BOBCATS,105.0
CHARLOTTE BOBCATS,240,37,74,7,17,24,35,9,32,27,10,8,13,20,home,win,105.0,NEW YORK KNICKS,95.0
LOS ANGELES CLIPPERS,240,37,86,3,13,12,19,16,22,24,8,5,10,20,away,loss,89.0,DALLAS MAVERICKS,102.0
DALLAS MAVERICKS,240,38,69,8,16,18,23,6,34,21,5,4,14,19,home,win,102.0,LOS ANGELES CLIPPERS,89.0
MEMPHIS GRIZZLIES,240,24,71,4,17,15,23,11,33,11,5,4,22,22,away,loss,67.0,DETROIT PISTONS,94.0
DETROIT PISTONS,240,34,81,2,12,24,30,12,33,22,16,6,8,19,home,win,94.0,MEMPHIS GRIZZLIES,67.0
INDIANA PACERS,240,41,91,13,35,23,32,13,26,27,7,5,10,23,away,loss,118.0,MINNESOTA TIMBERWOLVES,131.0
MINNESOTA TIMBERWOLVES,240,49,91,9,18,24,29,12,38,24,7,6,11,23,home,win,131.0,INDIANA PACERS,118.0
UTAH JAZZ,240,42,79,3,6,26,34,13,27,25,11,6,13,25,away,win,113.0,ORLANDO MAGIC,94.0
ORLANDO MAGIC,240,35,77,9,27,15,24,12,25,21,8,5,19,26,home,loss,94.0,UTAH JAZZ,113.0
LOS ANGELES LAKERS,240,43,88,5,16,15,20,15,32,26,7,4,16,17,away,win,106.0,PHILADELPHIA 76ERS,101.0
PHILADELPHIA 76ERS,240,40,88,3,11,18,21,10,27,23,9,3,12,20,home,loss,101.0,LOS ANGELES LAKERS,106.0
DENVER NUGGETS,240,36,79,5,20,19,25,10,29,18,4,1,11,21,away,loss,96.0,PORTLAND TRAIL BLAZERS,99.0
PORTLAND TRAIL BLAZERS,240,34,75,9,25,22,29,10,33,25,2,6,13,21,home,win,99.0,DENVER NUGGETS,96.0
TORONTO RAPTORS,240,46,93,13,26,10,12,10,29,32,6,5,13,22,away,loss,115.0,SEATTLE SUPERSONICS,123.0
SEATTLE SUPERSONICS,240,47,84,10,17,19,21,5,30,33,5,10,13,15,home,win,123.0,TORONTO RAPTORS,115.0
ATLANTA HAWKS,240,33,73,7,12,24,30,16,33,24,4,5,14,21,away,win,97.0,WASHINGTON WIZARDS,92.0
WASHINGTON WIZARDS,240,33,74,9,24,17,22,7,26,14,7,3,9,25,home,loss,92.0,ATLANTA HAWKS,97.0
