team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
DENVER NUGGETS,240,34,85,7,19,18,26,20,21,22,6,4,17,21,2008-01-15,away,loss,93.0,ATLANTA HAWKS,104.0,0.2857142857142857,0.2692307692307692,41
ATLANTA HAWKS,240,40,77,4,14,20,25,8,27,33,8,5,13,21,2008-01-15,home,win,104.0,DENVER NUGGETS,93.0,0.3418803418803419,0.2222222222222222,35
TORONTO RAPTORS,240,35,79,4,12,15,17,12,30,20,4,3,14,20,2008-01-15,away,loss,89.0,DETROIT PISTONS,103.0,0.30701754385964913,0.25,42
DETROIT PISTONS,240,38,76,8,13,19,23,6,32,29,10,4,9,11,2008-01-15,home,win,103.0,TORONTO RAPTORS,89.0,0.3333333333333333,0.38095238095238093,38
PHILADELPHIA 76ERS,240,41,84,3,4,26,35,12,20,23,11,3,9,18,2008-01-15,away,win,111.0,HOUSTON ROCKETS,107.0,0.328,0.42857142857142855,32
HOUSTON ROCKETS,240,39,80,8,26,21,25,13,27,22,8,6,17,25,2008-01-15,home,loss,107.0,PHILADELPHIA 76ERS,111.0,0.3277310924369748,0.23529411764705882,40
PHOENIX SUNS,240,35,86,9,27,11,14,8,28,25,7,4,14,18,2008-01-15,away,loss,90.0,LOS ANGELES CLIPPERS,97.0,0.2892561983471074,0.25,36
LOS ANGELES CLIPPERS,240,42,80,0,6,13,16,11,36,25,3,6,19,18,2008-01-15,home,win,97.0,PHOENIX SUNS,90.0,0.3442622950819672,0.0,47
CLEVELAND CAVALIERS,265,48,90,12,26,24,36,13,34,20,12,3,14,19,2008-01-15,away,win,132.0,MEMPHIS GRIZZLIES,124.0,0.34782608695652173,0.3157894736842105,47
MEMPHIS GRIZZLIES,265,49,90,15,30,11,18,7,26,28,10,3,16,24,2008-01-15,home,loss,124.0,CLEVELAND CAVALIERS,132.0,0.35251798561151076,0.3333333333333333,33
GOLDEN STATE WARRIORS,240,36,81,10,24,23,30,6,28,21,9,7,11,23,2008-01-15,away,win,105.0,MINNESOTA TIMBERWOLVES,98.0,0.3076923076923077,0.29411764705882354,34
MINNESOTA TIMBERWOLVES,240,37,83,6,14,18,26,16,33,17,6,6,19,28,2008-01-15,home,loss,98.0,GOLDEN STATE WARRIORS,105.0,0.30833333333333335,0.3,49
WASHINGTON WIZARDS,240,32,81,9,27,20,29,15,22,13,6,3,8,15,2008-01-15,away,loss,93.0,NEW YORK KNICKS,105.0,0.2831858407079646,0.25,37
NEW YORK KNICKS,240,42,82,11,17,10,14,12,31,26,2,2,9,19,2008-01-15,home,win,105.0,WASHINGTON WIZARDS,93.0,0.3387096774193548,0.39285714285714285,43
CHICAGO BULLS,240,37,78,4,9,10,19,12,25,20,8,4,13,23,2008-01-15,away,loss,88.0,ORLANDO MAGIC,102.0,0.3217391304347826,0.3076923076923077,37
ORLANDO MAGIC,240,32,70,11,28,27,33,10,31,19,7,4,14,16,2008-01-15,home,win,102.0,CHICAGO BULLS,88.0,0.3137254901960784,0.28205128205128205,41
