team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW JERSEY NETS,240,36,79,7,17,17,20,8,29,19,7,7,16,16,away,loss,96.0,CHICAGO BULLS,112.0
CHICAGO BULLS,240,44,89,11,17,13,18,12,34,30,12,7,11,16,home,win,112.0,NEW JERSEY NETS,96.0
LOS ANGELES LAKERS,240,37,89,7,19,21,29,13,32,20,10,7,9,20,away,win,102.0,DALLAS MAVERICKS,100.0
DALLAS MAVERICKS,240,32,72,6,17,30,38,8,35,15,6,11,14,22,home,loss,100.0,LOS ANGELES LAKERS,102.0
DENVER NUGGETS,240,43,76,10,20,24,32,4,18,31,12,3,13,19,away,loss,120.0,DETROIT PISTONS,136.0
DETROIT PISTONS,240,55,91,12,20,14,18,14,26,42,6,2,18,22,home,win,136.0,DENVER NUGGETS,120.0
BOSTON CELTICS,240,38,88,3,12,15,17,15,30,18,10,4,11,19,away,win,94.0,HOUSTON ROCKETS,74.0
HOUSTON ROCKETS,240,29,70,5,19,11,18,11,24,16,8,5,16,17,home,loss,74.0,BOSTON CELTICS,94.0
MIAMI HEAT,240,40,78,14,25,18,28,12,32,33,5,5,12,28,away,win,112.0,MILWAUKEE BUCKS,106.0
MILWAUKEE BUCKS,240,36,83,8,21,26,41,19,26,22,8,4,9,22,home,loss,106.0,MIAMI HEAT,112.0
PHOENIX SUNS,240,44,80,10,24,13,19,10,36,30,6,5,14,23,away,win,111.0,PORTLAND TRAIL BLAZERS,98.0
PORTLAND TRAIL BLAZERS,240,36,82,6,14,20,25,11,24,20,5,1,13,21,home,loss,98.0,PHOENIX SUNS,111.0
GOLDEN STATE WARRIORS,240,38,93,5,27,24,38,16,27,15,9,3,9,28,away,loss,105.0,SACRAMENTO KINGS,122.0
SACRAMENTO KINGS,240,47,81,5,16,23,30,10,38,25,5,8,12,26,home,win,122.0,GOLDEN STATE WARRIORS,105.0
