team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
ATLANTA HAWKS,240,24,82,6,12,11,16,19,27,11,2,5,16,17,2008-05-04,away,loss,65.0,BOSTON CELTICS,99.0,0.22641509433962265,0.3333333333333333,46
BOSTON CELTICS,240,40,84,3,18,16,19,14,32,20,11,10,8,19,2008-05-04,home,win,99.0,ATLANTA HAWKS,65.0,0.3225806451612903,0.14285714285714285,46
UTAH JAZZ,240,36,95,4,19,22,30,25,33,21,5,9,13,33,2008-05-04,away,loss,98.0,LOS ANGELES LAKERS,109.0,0.2748091603053435,0.17391304347826086,58
LOS ANGELES LAKERS,240,33,73,5,10,38,46,8,33,24,11,8,12,27,2008-05-04,home,win,109.0,UTAH JAZZ,98.0,0.3113207547169811,0.3333333333333333,41
