team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
WASHINGTON WIZARDS,240,31,68,1,11,20,24,6,30,13,8,8,17,18,2010-03-07,away,loss,83.0,BOSTON CELTICS,86.0,0.31313131313131315,0.08333333333333333,36
BOSTON CELTICS,240,30,73,5,12,21,26,8,29,15,9,1,16,21,2010-03-07,home,win,86.0,WASHINGTON WIZARDS,83.0,0.2912621359223301,0.29411764705882354,37
PORTLAND TRAIL BLAZERS,240,35,82,9,16,27,36,13,24,23,5,3,9,26,2010-03-07,away,loss,106.0,DENVER NUGGETS,118.0,0.29914529914529914,0.36,37
DENVER NUGGETS,240,43,73,9,22,23,34,4,31,31,5,7,12,25,2010-03-07,home,win,118.0,PORTLAND TRAIL BLAZERS,106.0,0.3706896551724138,0.2903225806451613,35
HOUSTON ROCKETS,265,40,87,7,28,20,23,8,35,20,8,2,13,17,2010-03-07,away,loss,107.0,DETROIT PISTONS,110.0,0.31496062992125984,0.2,43
DETROIT PISTONS,265,43,91,6,13,18,25,14,36,26,5,3,9,24,2010-03-07,home,win,110.0,HOUSTON ROCKETS,107.0,0.3208955223880597,0.3157894736842105,50
LOS ANGELES LAKERS,240,33,88,5,17,23,26,14,25,16,6,6,7,28,2010-03-07,away,loss,94.0,ORLANDO MAGIC,96.0,0.2727272727272727,0.22727272727272727,39
ORLANDO MAGIC,240,30,73,8,24,28,39,15,35,18,3,7,19,25,2010-03-07,home,win,96.0,LOS ANGELES LAKERS,94.0,0.2912621359223301,0.25,50
OKLAHOMA CITY THUNDER,240,41,86,4,14,22,25,16,29,15,7,7,14,20,2010-03-07,away,win,108.0,SACRAMENTO KINGS,102.0,0.3228346456692913,0.2222222222222222,45
SACRAMENTO KINGS,240,41,81,5,9,15,24,9,24,21,7,3,11,22,2010-03-07,home,loss,102.0,OKLAHOMA CITY THUNDER,108.0,0.3360655737704918,0.35714285714285715,33
PHILADELPHIA 76ERS,240,45,81,9,12,15,19,12,26,25,8,6,17,16,2010-03-07,away,win,114.0,TORONTO RAPTORS,101.0,0.35714285714285715,0.42857142857142855,38
TORONTO RAPTORS,240,43,84,7,18,8,12,11,23,23,10,5,15,19,2010-03-07,home,loss,101.0,PHILADELPHIA 76ERS,114.0,0.33858267716535434,0.28,34
