team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
LOS ANGELES CLIPPERS,240,31,80,5,12,22,28,11,37,18,11,2,16,23,away,loss,89.0,BOSTON CELTICS,95.0
BOSTON CELTICS,240,34,72,4,14,23,34,5,38,21,10,3,14,15,home,win,95.0,LOS ANGELES CLIPPERS,89.0
CHARLOTTE BOBCATS,240,34,72,5,13,20,28,7,28,26,5,5,15,21,away,loss,93.0,DENVER NUGGETS,104.0
DENVER NUGGETS,240,36,79,10,23,22,26,9,27,29,9,6,11,23,home,win,104.0,CHARLOTTE BOBCATS,93.0
ATLANTA HAWKS,240,39,82,9,24,15,19,11,34,13,5,7,12,24,away,win,102.0,HOUSTON ROCKETS,95.0
HOUSTON ROCKETS,240,33,83,5,21,24,30,12,29,16,4,3,9,15,home,loss,95.0,ATLANTA HAWKS,102.0
ORLANDO MAGIC,240,33,78,13,35,15,18,13,24,21,8,8,19,30,away,loss,94.0,MEMPHIS GRIZZLIES,99.0
MEMPHIS GRIZZLIES,240,38,82,6,12,17,26,14,31,18,8,3,18,16,home,win,99.0,ORLANDO MAGIC,94.0
CLEVELAND CAVALIERS,240,33,73,7,22,19,28,10,31,14,4,2,13,21,away,win,92.0,MIAMI HEAT,91.0
MIAMI HEAT,240,34,78,6,15,17,29,14,32,13,5,6,10,22,home,loss,91.0,CLEVELAND CAVALIERS,92.0
INDIANA PACERS,240,43,83,8,22,15,22,9,32,25,7,2,14,17,away,win,109.0,PHILADELPHIA 76ERS,98.0
PHILADELPHIA 76ERS,240,36,82,8,18,18,26,11,28,20,4,4,13,21,home,loss,98.0,INDIANA PACERS,109.0
NEW ORLEANS HORNETS,240,35,68,9,19,19,22,5,28,20,6,4,12,16,away,win,98.0,PORTLAND TRAIL BLAZERS,97.0
PORTLAND TRAIL BLAZERS,240,40,84,8,17,9,13,12,27,28,6,3,12,22,home,loss,97.0,NEW ORLEANS HORNETS,98.0
CHICAGO BULLS,240,42,78,5,11,9,12,9,35,18,6,9,17,15,away,win,98.0,SAN ANTONIO SPURS,93.0
SAN ANTONIO SPURS,240,39,93,3,14,12,20,18,25,17,9,5,9,14,home,loss,93.0,CHICAGO BULLS,98.0
PHOENIX SUNS,240,41,84,17,30,16,23,7,24,24,6,4,12,24,away,loss,115.0,UTAH JAZZ,124.0
UTAH JAZZ,240,44,84,7,20,29,37,13,35,29,8,5,11,17,home,win,124.0,PHOENIX SUNS,115.0
