team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
OKLAHOMA CITY THUNDER,240,40,82,8,15,10,12,13,35,19,10,9,20,19,away,win,98.0,CHICAGO BULLS,85.0
CHICAGO BULLS,240,35,99,3,9,12,16,25,27,18,12,4,14,14,home,loss,85.0,OKLAHOMA CITY THUNDER,98.0
PORTLAND TRAIL BLAZERS,240,39,77,6,16,11,16,8,21,27,8,2,14,16,away,loss,95.0,LOS ANGELES CLIPPERS,105.0
LOS ANGELES CLIPPERS,240,41,71,8,13,15,19,10,28,28,8,3,20,16,home,win,105.0,PORTLAND TRAIL BLAZERS,95.0
ATLANTA HAWKS,240,25,71,3,14,22,29,7,23,11,2,3,9,18,away,loss,75.0,MIAMI HEAT,92.0
MIAMI HEAT,240,37,79,3,12,15,20,13,39,15,3,7,11,19,home,win,92.0,ATLANTA HAWKS,75.0
NEW ORLEANS HORNETS,240,34,78,9,27,14,19,14,34,18,7,7,17,19,away,win,91.0,UTAH JAZZ,87.0
UTAH JAZZ,240,33,87,7,14,14,16,14,29,23,6,1,13,21,home,loss,87.0,NEW ORLEANS HORNETS,91.0
