team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
WASHINGTON WIZARDS,240,34,78,6,21,20,23,12,29,15,4,7,17,27,2009-12-06,away,loss,94.0,DETROIT PISTONS,98.0,0.30357142857142855,0.2222222222222222,41
DETROIT PISTONS,240,35,82,4,20,24,36,15,26,22,8,1,11,23,2009-12-06,home,win,98.0,WASHINGTON WIZARDS,94.0,0.29914529914529914,0.16666666666666666,41
PHOENIX SUNS,240,37,83,4,13,10,11,10,27,21,6,4,14,20,2009-12-06,away,loss,88.0,LOS ANGELES LAKERS,108.0,0.30833333333333335,0.23529411764705882,37
LOS ANGELES LAKERS,240,38,81,10,21,22,26,12,30,20,8,3,11,15,2009-12-06,home,win,108.0,PHOENIX SUNS,88.0,0.31932773109243695,0.3225806451612903,42
CLEVELAND CAVALIERS,240,35,74,6,10,25,27,8,40,21,8,6,18,19,2009-12-06,away,win,101.0,MILWAUKEE BUCKS,86.0,0.3211009174311927,0.375,48
MILWAUKEE BUCKS,240,35,93,4,20,12,16,11,27,11,6,4,12,21,2009-12-06,home,loss,86.0,CLEVELAND CAVALIERS,101.0,0.2734375,0.16666666666666666,38
NEW JERSEY NETS,240,40,81,5,16,12,15,8,25,23,8,8,14,26,2009-12-06,away,loss,97.0,NEW YORK KNICKS,106.0,0.3305785123966942,0.23809523809523808,33
NEW YORK KNICKS,240,36,77,6,15,28,34,15,33,20,5,3,15,15,2009-12-06,home,win,106.0,NEW JERSEY NETS,97.0,0.3185840707964602,0.2857142857142857,48
MIAMI HEAT,240,41,70,7,19,26,31,6,27,30,9,8,13,21,2009-12-06,away,win,115.0,SACRAMENTO KINGS,102.0,0.36936936936936937,0.2692307692307692,33
SACRAMENTO KINGS,240,37,79,8,22,20,32,12,22,19,6,1,17,24,2009-12-06,home,loss,102.0,MIAMI HEAT,115.0,0.31896551724137934,0.26666666666666666,34
