team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
DETROIT PISTONS,240,35,87,6,22,9,12,15,28,17,13,5,15,21,2013-11-20,away,loss,85.0,ATLANTA HAWKS,93.0,0.28688524590163933,0.21428571428571427,43
ATLANTA HAWKS,240,36,71,4,15,17,24,5,33,23,11,8,21,12,2013-11-20,home,win,93.0,DETROIT PISTONS,85.0,0.3364485981308411,0.21052631578947367,38
BROOKLYN NETS,240,32,67,9,19,18,25,6,30,21,6,5,17,27,2013-11-20,away,loss,91.0,CHARLOTTE BOBCATS,95.0,0.32323232323232326,0.32142857142857145,36
CHARLOTTE BOBCATS,240,36,81,5,13,18,30,17,24,17,7,4,15,20,2013-11-20,home,win,95.0,BROOKLYN NETS,91.0,0.3076923076923077,0.2777777777777778,41
WASHINGTON WIZARDS,240,38,84,8,19,14,14,15,29,31,6,5,14,17,2013-11-20,away,win,98.0,CLEVELAND CAVALIERS,91.0,0.3114754098360656,0.2962962962962963,44
CLEVELAND CAVALIERS,240,32,77,9,23,18,21,13,25,19,5,0,15,20,2013-11-20,home,loss,91.0,WASHINGTON WIZARDS,98.0,0.29357798165137616,0.28125,38
HOUSTON ROCKETS,240,42,76,12,31,24,33,8,22,29,9,2,11,23,2013-11-20,away,loss,120.0,DALLAS MAVERICKS,123.0,0.3559322033898305,0.27906976744186046,30
DALLAS MAVERICKS,240,42,72,11,22,28,33,7,29,26,9,5,15,26,2013-11-20,home,win,123.0,HOUSTON ROCKETS,120.0,0.3684210526315789,0.3333333333333333,36
MEMPHIS GRIZZLIES,265,34,88,3,12,17,19,16,32,17,8,6,6,17,2013-11-20,away,win,88.0,GOLDEN STATE WARRIORS,81.0,0.2786885245901639,0.2,48
GOLDEN STATE WARRIORS,265,36,82,5,18,4,8,7,36,24,3,3,14,20,2013-11-20,home,loss,81.0,MEMPHIS GRIZZLIES,88.0,0.3050847457627119,0.21739130434782608,43
PORTLAND TRAIL BLAZERS,240,35,86,11,31,10,15,16,29,26,10,5,16,14,2013-11-20,away,win,91.0,MILWAUKEE BUCKS,82.0,0.2892561983471074,0.2619047619047619,45
MILWAUKEE BUCKS,240,35,80,5,14,7,12,12,30,18,6,5,19,19,2013-11-20,home,loss,82.0,PORTLAND TRAIL BLAZERS,91.0,0.30434782608695654,0.2631578947368421,42
LOS ANGELES CLIPPERS,240,40,81,12,24,10,16,6,37,24,8,5,19,25,2013-11-20,away,win,102.0,MINNESOTA TIMBERWOLVES,98.0,0.3305785123966942,0.3333333333333333,43
MINNESOTA TIMBERWOLVES,240,34,90,5,22,25,31,10,35,24,10,2,14,17,2013-11-20,home,loss,98.0,LOS ANGELES CLIPPERS,102.0,0.27419354838709675,0.18518518518518517,45
UTAH JAZZ,240,37,83,8,24,16,20,9,28,27,7,7,14,25,2013-11-20,away,loss,98.0,NEW ORLEANS PELICANS,105.0,0.30833333333333335,0.25,37
NEW ORLEANS PELICANS,240,40,79,5,15,20,33,14,30,24,9,13,12,20,2013-11-20,home,win,105.0,UTAH JAZZ,98.0,0.33613445378151263,0.25,44
INDIANA PACERS,265,33,87,9,30,28,36,10,39,16,7,8,14,19,2013-11-20,away,win,103.0,NEW YORK KNICKS,96.0,0.275,0.23076923076923078,49
NEW YORK KNICKS,265,37,100,8,30,14,17,16,36,15,9,5,15,32,2013-11-20,home,loss,96.0,INDIANA PACERS,103.0,0.27007299270072993,0.21052631578947367,52
MIAMI HEAT,240,38,74,15,24,29,32,12,28,27,12,6,21,15,2013-11-20,away,win,120.0,ORLANDO MAGIC,92.0,0.3392857142857143,0.38461538461538464,40
ORLANDO MAGIC,240,29,71,15,29,19,21,7,18,19,13,5,24,23,2013-11-20,home,loss,92.0,MIAMI HEAT,120.0,0.29,0.3409090909090909,25
TORONTO RAPTORS,240,36,86,14,29,22,28,9,32,24,7,9,10,23,2013-11-20,away,win,108.0,PHILADELPHIA 76ERS,98.0,0.29508196721311475,0.32558139534883723,41
PHILADELPHIA 76ERS,240,34,76,7,20,23,31,9,41,20,5,4,20,23,2013-11-20,home,loss,98.0,TORONTO RAPTORS,108.0,0.3090909090909091,0.25925925925925924,50
SACRAMENTO KINGS,240,37,80,7,17,32,38,9,33,19,11,2,10,23,2013-11-20,away,win,113.0,PHOENIX SUNS,106.0,0.3162393162393162,0.2916666666666667,42
PHOENIX SUNS,240,38,85,15,33,15,22,13,24,12,6,6,17,26,2013-11-20,home,loss,106.0,SACRAMENTO KINGS,113.0,0.3089430894308943,0.3125,37
BOSTON CELTICS,240,39,86,4,15,11,12,10,34,18,4,3,17,20,2013-11-20,away,loss,93.0,SAN ANTONIO SPURS,104.0,0.312,0.21052631578947367,44
SAN ANTONIO SPURS,240,39,81,8,21,18,24,7,34,27,12,6,11,14,2013-11-20,home,win,104.0,BOSTON CELTICS,93.0,0.325,0.27586206896551724,41
