team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
BROOKLYN NETS,240,39,82,10,31,24,29,8,35,21,12,5,15,25,away,win,112.0,DENVER NUGGETS,89.0
DENVER NUGGETS,240,30,81,6,22,23,33,15,31,14,6,6,24,22,home,loss,89.0,BROOKLYN NETS,112.0
MILWAUKEE BUCKS,240,38,87,12,24,8,11,10,25,19,7,4,12,22,away,loss,96.0,INDIANA PACERS,101.0
INDIANA PACERS,240,38,74,6,15,19,22,12,35,22,7,3,19,15,home,win,101.0,MILWAUKEE BUCKS,96.0
NEW YORK KNICKS,240,31,83,4,23,16,22,14,26,16,7,1,13,21,away,loss,82.0,MIAMI HEAT,108.0
MIAMI HEAT,240,45,74,6,15,12,18,3,36,18,5,3,12,22,home,win,108.0,NEW YORK KNICKS,82.0
WASHINGTON WIZARDS,315,51,108,5,22,27,37,18,39,22,10,7,14,32,away,win,134.0,TORONTO RAPTORS,129.0
TORONTO RAPTORS,315,45,100,12,30,27,36,11,39,29,10,5,17,35,home,loss,129.0,WASHINGTON WIZARDS,134.0
