team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DENVER NUGGETS,240,36,89,18,42,12,14,7,30,25,4,5,12,23,away,loss,102.0,BROOKLYN NETS,105.0
BROOKLYN NETS,240,40,87,7,28,18,23,10,38,25,5,1,11,15,home,win,105.0,DENVER NUGGETS,102.0
ATLANTA HAWKS,240,44,91,18,45,16,17,11,37,28,8,8,13,24,away,win,122.0,CHARLOTTE HORNETS,107.0
CHARLOTTE HORNETS,240,36,90,11,31,24,29,13,31,22,8,3,11,17,home,loss,107.0,ATLANTA HAWKS,122.0
SACRAMENTO KINGS,240,44,85,13,34,9,11,7,28,24,7,1,8,16,away,win,110.0,DALLAS MAVERICKS,106.0
DALLAS MAVERICKS,240,41,86,17,44,7,8,10,30,24,3,1,12,11,home,loss,106.0,SACRAMENTO KINGS,110.0
MINNESOTA TIMBERWOLVES,240,44,84,15,37,22,26,6,25,27,5,6,15,18,away,loss,125.0,LOS ANGELES LAKERS,142.0
LOS ANGELES LAKERS,240,55,94,14,31,18,20,10,31,32,9,1,10,19,home,win,142.0,MINNESOTA TIMBERWOLVES,125.0
CHICAGO BULLS,265,35,80,13,36,22,27,6,33,20,8,1,14,31,away,loss,105.0,MIAMI HEAT,110.0
MIAMI HEAT,265,32,77,11,35,35,44,10,33,20,9,2,17,23,home,win,110.0,CHICAGO BULLS,105.0
TORONTO RAPTORS,240,38,88,11,33,17,20,13,29,21,13,4,18,22,away,loss,104.0,PHILADELPHIA 76ERS,110.0
PHILADELPHIA 76ERS,240,40,79,14,32,16,21,6,34,31,7,5,18,18,home,win,110.0,TORONTO RAPTORS,104.0
OKLAHOMA CITY THUNDER,240,35,85,11,32,27,34,13,41,12,7,2,10,22,away,win,108.0,PORTLAND TRAIL BLAZERS,96.0
PORTLAND TRAIL BLAZERS,240,36,100,9,33,15,18,18,33,16,7,8,8,26,home,loss,96.0,OKLAHOMA CITY THUNDER,108.0
LOS ANGELES CLIPPERS,240,50,96,15,40,20,27,9,36,27,8,4,10,26,away,win,135.0,WASHINGTON WIZARDS,119.0
WASHINGTON WIZARDS,240,40,88,14,33,25,30,8,30,28,5,3,13,22,home,loss,119.0,LOS ANGELES CLIPPERS,135.0
