team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
ORLANDO MAGIC,240,35,99,5,31,24,26,17,29,15,8,7,10,15,away,loss,99.0,ATLANTA HAWKS,103.0
ATLANTA HAWKS,240,43,84,9,30,8,15,9,43,22,5,9,18,26,home,win,103.0,ORLANDO MAGIC,99.0
TORONTO RAPTORS,240,38,82,15,42,17,18,10,49,27,9,12,22,25,away,win,108.0,CHICAGO BULLS,84.0
CHICAGO BULLS,240,29,97,9,35,17,25,12,33,18,9,2,15,22,home,loss,84.0,TORONTO RAPTORS,108.0
INDIANA PACERS,240,39,87,10,28,11,13,6,30,23,7,3,17,25,away,loss,99.0,CLEVELAND CAVALIERS,110.0
CLEVELAND CAVALIERS,240,40,80,11,31,19,29,12,32,23,9,7,18,20,home,win,110.0,INDIANA PACERS,99.0
PHILADELPHIA 76ERS,240,42,87,13,34,20,30,6,32,30,14,3,22,26,away,win,117.0,DETROIT PISTONS,111.0
DETROIT PISTONS,240,41,76,8,19,21,36,5,30,20,11,7,23,28,home,loss,111.0,PHILADELPHIA 76ERS,117.0
NEW ORLEANS PELICANS,240,46,100,18,50,13,16,9,33,27,9,2,17,30,away,loss,123.0,HOUSTON ROCKETS,126.0
HOUSTON ROCKETS,240,43,94,13,45,27,30,9,36,27,7,4,19,22,home,win,126.0,NEW ORLEANS PELICANS,123.0
MIAMI HEAT,265,46,101,16,44,23,36,8,46,33,7,3,16,30,away,win,131.0,MILWAUKEE BUCKS,126.0
MILWAUKEE BUCKS,265,41,94,17,54,27,35,5,42,22,8,4,18,32,home,loss,126.0,MIAMI HEAT,131.0
BOSTON CELTICS,240,42,93,15,41,19,29,13,33,24,14,9,12,26,away,win,118.0,NEW YORK KNICKS,95.0
NEW YORK KNICKS,240,31,82,7,27,26,34,16,39,15,7,4,23,26,home,loss,95.0,BOSTON CELTICS,118.0
LOS ANGELES CLIPPERS,240,40,87,11,32,31,39,10,31,20,8,4,12,32,away,loss,122.0,PHOENIX SUNS,130.0
PHOENIX SUNS,240,43,86,17,43,27,34,9,40,32,9,3,16,34,home,win,130.0,LOS ANGELES CLIPPERS,122.0
WASHINGTON WIZARDS,240,47,95,16,34,12,17,8,33,30,3,8,12,15,away,loss,122.0,SAN ANTONIO SPURS,124.0
SAN ANTONIO SPURS,240,50,108,10,28,14,17,21,32,29,6,7,9,19,home,win,124.0,WASHINGTON WIZARDS,122.0
SACRAMENTO KINGS,240,30,81,7,26,14,17,6,25,16,5,3,17,19,away,loss,81.0,UTAH JAZZ,113.0
UTAH JAZZ,240,44,78,18,37,7,12,2,41,28,6,1,21,22,home,win,113.0,SACRAMENTO KINGS,81.0
