team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CLEVELAND CAVALIERS,240,34,70,7,20,19,27,5,28,18,6,3,18,19,away,loss,94.0,ATLANTA HAWKS,121.0
ATLANTA HAWKS,240,46,83,11,24,18,24,9,27,31,11,3,10,17,home,win,121.0,CLEVELAND CAVALIERS,94.0
CHARLOTTE BOBCATS,240,35,74,2,11,17,23,9,35,18,4,5,16,17,away,loss,89.0,CHICAGO BULLS,95.0
CHICAGO BULLS,240,40,85,6,15,9,15,10,27,26,11,3,8,17,home,win,95.0,CHARLOTTE BOBCATS,89.0
PORTLAND TRAIL BLAZERS,240,34,81,3,20,20,24,13,25,19,7,3,9,24,away,loss,91.0,DETROIT PISTONS,94.0
DETROIT PISTONS,240,30,67,7,15,27,32,8,26,13,5,8,11,21,home,win,94.0,PORTLAND TRAIL BLAZERS,91.0
SAN ANTONIO SPURS,240,42,94,7,22,11,15,16,27,24,6,2,13,15,away,loss,102.0,HOUSTON ROCKETS,105.0
HOUSTON ROCKETS,240,44,79,6,22,11,12,4,28,22,5,9,13,18,home,win,105.0,SAN ANTONIO SPURS,102.0
SACRAMENTO KINGS,240,36,87,6,19,17,22,11,27,20,6,3,16,19,away,loss,95.0,MEMPHIS GRIZZLIES,128.0
MEMPHIS GRIZZLIES,240,50,92,8,16,20,27,11,40,27,11,9,11,20,home,win,128.0,SACRAMENTO KINGS,95.0
PHILADELPHIA 76ERS,240,37,83,8,15,10,15,7,24,18,9,5,9,17,away,loss,92.0,MIAMI HEAT,113.0
MIAMI HEAT,240,44,81,7,16,18,21,12,40,24,5,10,11,13,home,win,113.0,PHILADELPHIA 76ERS,92.0
OKLAHOMA CITY THUNDER,240,32,77,4,17,16,24,14,41,13,8,10,19,16,away,win,84.0,NEW JERSEY NETS,74.0
NEW JERSEY NETS,240,27,87,3,23,17,19,16,30,14,9,5,16,16,home,loss,74.0,OKLAHOMA CITY THUNDER,84.0
DALLAS MAVERICKS,240,32,79,4,26,15,20,9,40,17,7,7,11,25,away,win,83.0,NEW ORLEANS HORNETS,81.0
NEW ORLEANS HORNETS,240,29,79,2,19,21,32,11,30,15,9,3,11,16,home,loss,81.0,DALLAS MAVERICKS,83.0
DENVER NUGGETS,290,41,98,6,24,31,43,15,43,29,12,4,20,20,away,win,119.0,NEW YORK KNICKS,114.0
NEW YORK KNICKS,290,44,97,11,33,15,21,11,39,24,8,7,23,34,home,loss,114.0,DENVER NUGGETS,119.0
MINNESOTA TIMBERWOLVES,240,37,83,8,21,16,21,13,22,17,10,3,11,20,away,loss,98.0,UTAH JAZZ,108.0
UTAH JAZZ,240,41,79,5,15,21,29,15,31,25,5,5,15,18,home,win,108.0,MINNESOTA TIMBERWOLVES,98.0
