team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW YORK KNICKS,240,37,80,3,11,22,31,9,29,21,7,13,13,21,away,loss,99.0,CHICAGO BULLS,104.0
CHICAGO BULLS,240,40,93,5,14,19,28,22,34,25,7,5,12,21,home,win,104.0,NEW YORK KNICKS,99.0
BOSTON CELTICS,240,33,67,5,13,23,27,6,25,24,8,5,14,24,away,win,94.0,LOS ANGELES CLIPPERS,85.0
LOS ANGELES CLIPPERS,240,31,83,5,23,18,21,20,25,16,10,2,16,26,home,loss,85.0,BOSTON CELTICS,94.0
MILWAUKEE BUCKS,240,43,92,10,25,9,11,9,30,32,8,2,12,19,away,win,105.0,NEW JERSEY NETS,99.0
NEW JERSEY NETS,240,37,76,4,17,21,29,5,34,14,8,4,15,17,home,loss,99.0,MILWAUKEE BUCKS,105.0
CHARLOTTE BOBCATS,240,34,79,0,12,5,7,11,36,16,10,7,17,10,away,win,73.0,NEW ORLEANS HORNETS,71.0
NEW ORLEANS HORNETS,240,30,78,5,12,6,7,9,28,23,9,6,17,11,home,loss,71.0,CHARLOTTE BOBCATS,73.0
MINNESOTA TIMBERWOLVES,240,50,89,14,22,13,21,12,27,30,4,3,11,22,away,win,127.0,PHOENIX SUNS,124.0
PHOENIX SUNS,240,46,89,9,21,23,29,10,27,24,7,7,7,19,home,loss,124.0,MINNESOTA TIMBERWOLVES,127.0
WASHINGTON WIZARDS,240,39,87,8,17,11,14,12,29,21,6,5,10,15,away,loss,97.0,SAN ANTONIO SPURS,112.0
SAN ANTONIO SPURS,240,47,87,8,22,10,19,12,34,30,6,2,10,13,home,win,112.0,WASHINGTON WIZARDS,97.0
DETROIT PISTONS,240,34,71,3,12,19,28,5,24,18,7,5,12,19,away,loss,90.0,UTAH JAZZ,105.0
UTAH JAZZ,240,39,72,7,11,20,26,7,31,24,10,2,15,23,home,win,105.0,DETROIT PISTONS,90.0
