team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
HOUSTON ROCKETS,240,33,79,6,21,9,12,4,35,17,10,1,11,22,2012-03-27,away,loss,81.0,DALLAS MAVERICKS,90.0,0.29464285714285715,0.2222222222222222,39
DALLAS MAVERICKS,240,34,73,6,19,16,20,3,40,18,7,2,13,14,2012-03-27,home,win,90.0,HOUSTON ROCKETS,81.0,0.3177570093457944,0.24,43
LOS ANGELES LAKERS,240,36,86,5,20,27,34,17,35,23,3,5,11,13,2012-03-27,away,win,104.0,GOLDEN STATE WARRIORS,101.0,0.29508196721311475,0.2,52
GOLDEN STATE WARRIORS,240,39,91,6,19,17,18,8,27,22,4,9,5,25,2012-03-27,home,loss,101.0,LOS ANGELES LAKERS,104.0,0.3,0.24,35
MINNESOTA TIMBERWOLVES,240,33,85,9,29,11,13,12,28,13,7,8,13,21,2012-03-27,away,loss,86.0,MEMPHIS GRIZZLIES,93.0,0.2796610169491525,0.23684210526315788,40
MEMPHIS GRIZZLIES,240,34,80,0,11,25,28,14,35,16,9,9,15,15,2012-03-27,home,win,93.0,MINNESOTA TIMBERWOLVES,86.0,0.2982456140350877,0.0,49
ATLANTA HAWKS,240,42,84,7,23,10,17,13,29,27,7,1,21,16,2012-03-27,away,loss,101.0,MILWAUKEE BUCKS,108.0,0.3333333333333333,0.23333333333333334,42
MILWAUKEE BUCKS,240,44,88,5,11,15,16,10,26,29,10,7,11,16,2012-03-27,home,win,108.0,ATLANTA HAWKS,101.0,0.3333333333333333,0.3125,36
CLEVELAND CAVALIERS,240,28,70,9,23,20,28,9,35,19,6,4,18,15,2012-03-27,away,loss,85.0,PHILADELPHIA 76ERS,103.0,0.2857142857142857,0.28125,44
PHILADELPHIA 76ERS,240,45,92,10,19,3,5,9,34,25,8,6,11,22,2012-03-27,home,win,103.0,CLEVELAND CAVALIERS,85.0,0.3284671532846715,0.3448275862068966,43
SAN ANTONIO SPURS,240,45,92,6,27,11,13,15,33,24,6,0,9,12,2012-03-27,away,win,107.0,PHOENIX SUNS,100.0,0.3284671532846715,0.18181818181818182,48
PHOENIX SUNS,240,41,87,7,19,11,12,8,30,14,3,4,8,15,2012-03-27,home,loss,100.0,SAN ANTONIO SPURS,107.0,0.3203125,0.2692307692307692,38
OKLAHOMA CITY THUNDER,240,45,79,6,17,13,16,9,34,16,7,8,14,19,2012-03-27,away,win,109.0,PORTLAND TRAIL BLAZERS,95.0,0.3629032258064516,0.2608695652173913,43
PORTLAND TRAIL BLAZERS,240,34,79,7,16,20,25,10,20,15,9,4,12,18,2012-03-27,home,loss,95.0,OKLAHOMA CITY THUNDER,109.0,0.3008849557522124,0.30434782608695654,30
